eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000      198.8100      396.2900      197.4800      399.1630      200.3530      198.4377      2.8730
0.0000      198.9460      396.4280      197.4820      399.4740      200.5280      198.4973      3.0460
0.0000      199.3320      396.4190      197.0870      400.4720      201.1400      198.4380      4.0530
0.0010      199.8350      396.3910      196.5560      401.7000      201.8650      198.3257      5.3090
0.0020      200.2620      396.2540      195.9920      402.8190      202.5570      198.1803      6.5650
0.0020      200.7390      396.3720      195.6330      403.8520      203.1130      198.1263      7.4800
0.0030      201.1220      396.3910      195.2690      404.9640      203.8420      198.1267      8.5730
0.0040      201.5410      396.2900      194.7490      406.0530      204.5120      198.0033      9.7630
0.0040      201.9520      396.3630      194.4110      406.9220      204.9700      197.9307      10.5590
0.0050      202.3600      396.3820      194.0220      407.8930      205.5330      197.8590      11.5110
0.0050      202.7460      396.3820      193.6360      408.8110      206.0650      197.7790      12.4290
0.0060      203.1400      396.4100      193.2700      409.7300      206.5900      197.7100      13.3200
0.0070      203.5470      396.4090      192.8620      410.6540      207.1070      197.6103      14.2450
0.0070      203.9810      396.4090      192.4280      411.5320      207.5510      197.4690      15.1230
0.0079      204.3890      396.4640      192.0750      412.3410      207.9520      197.3673      15.8770
0.0089      204.7570      396.3910      191.6340      413.1620      208.4050      197.2243      16.7710
0.0089      205.1900      396.3810      191.1910      414.0800      208.8900      197.0907      17.6990
0.0099      205.5510      396.3820      190.8310      414.6920      209.1410      196.9343      18.3100
0.0109      205.8920      396.3910      190.4990      415.4050      209.5130      196.8370      19.0140
0.0109      206.3040      396.4190      190.1150      416.0950      209.7910      196.6737      19.6760
0.0119      206.6680      396.4550      189.7870      416.7890      210.1210      196.5650      20.3340
0.0129      207.0430      396.3540      189.3110      417.5290      210.4860      196.3693      21.1750
0.0129      207.4800      396.3450      188.8650      418.1700      210.6900      196.1400      21.8250
0.0139      207.8510      396.4270      188.5760      418.8260      210.9750      196.0423      22.3990
0.0149      208.2340      396.4280      188.1940      419.4230      211.1890      195.8590      22.9950
0.0149      208.6120      396.3270      187.7150      420.1050      211.4930      195.6410      23.7780
0.0159      209.0200      396.2990      187.2790      420.7510      211.7310      195.4297      24.4520
0.0169      209.4170      396.3910      186.9740      421.3220      211.9050      195.2843      24.9310
0.0169      209.8140      396.3730      186.5590      421.8800      212.0660      195.0613      25.5070
0.0179      210.1850      396.3360      186.1510      422.4550      212.2700      194.8573      26.1190
0.0179      210.5860      396.3090      185.7230      423.0290      212.4430      194.6297      26.7200
0.0189      210.9200      396.3720      185.4520      423.6090      212.6890      194.5310      27.2370
0.0199      211.3250      396.4830      185.1580      424.1590      212.8340      194.3833      27.6760
0.0209      211.7330      396.4100      184.6770      424.7100      212.9770      194.1103      28.3000
0.0209      212.1110      396.3080      184.1970      425.2370      213.1260      193.8400      28.9290
0.0218      212.4970      396.3730      183.8760      425.7780      213.2810      193.6777      29.4050
0.0218      212.8830      396.3450      183.4620      426.3160      213.4330      193.4523      29.9710
0.0228      213.2980      396.4460      183.1480      426.7950      213.4970      193.2643      30.3490
0.0228      213.6690      396.4000      182.7310      427.2960      213.6270      193.0297      30.8960
0.0238      214.0370      396.3730      182.3360      427.8130      213.7760      192.8160      31.4400
0.0248      214.4300      396.3170      181.8870      428.3450      213.9150      192.5630      32.0280
0.0248      214.8200      396.3540      181.5340      428.8380      214.0180      192.3620      32.4840
0.0258      215.1800      396.4740      181.2940      429.3240      214.1440      192.2440      32.8500
0.0268      215.5810      396.4100      180.8290      429.8050      214.2240      191.9607      33.3950
0.0268      216.0030      396.3630      180.3600      430.3310      214.3280      191.6827      33.9680
0.0278      216.3560      396.3820      180.0260      430.8240      214.4680      191.5067      34.4420
0.0278      216.7570      396.3360      179.5790      431.3410      214.5840      191.2473      35.0050
0.0288      217.1650      396.3540      179.1890      431.8040      214.6390      191.0057      35.4500
0.0298      217.5580      396.4000      178.8420      432.2010      214.6430      190.7757      35.8010
0.0298      217.9220      396.3640      178.4420      432.7050      214.7830      190.5557      36.3410
0.0308      218.2820      396.2900      178.0080      433.2150      214.9330      190.3163      36.9250
0.0308      218.7080      396.3260      177.6180      433.6610      214.9530      190.0630      37.3350
0.0318      219.0940      396.3720      177.2780      434.1300      215.0360      189.8640      37.7580
0.0328      219.4910      396.3080      176.8170      434.6310      215.1400      189.5913      38.3230
0.0338      219.8740      396.3270      176.4530      435.0560      215.1820      189.3627      38.7290
0.0338      220.3070      396.2530      175.9460      435.5670      215.2600      189.0507      39.3140
0.0348      220.6530      396.3180      175.6650      435.9820      215.3290      188.8863      39.6640
0.0357      221.0350      396.3080      175.2730      436.4510      215.4160      188.6540      40.1430
0.0357      221.4250      396.3910      174.9660      436.7760      215.3510      188.4277      40.3850
0.0367      221.8100      396.3810      174.5710      437.2330      215.4230      188.1883      40.8520
0.0377      222.2070      396.4000      174.1930      437.6710      215.4640      187.9500      41.2710
0.0377      222.5680      396.3360      173.7680      438.1710      215.6030      187.7130      41.8350
0.0387      222.9760      396.3550      173.3790      438.5620      215.5860      187.4480      42.2070
0.0397      223.3610      396.4360      173.0750      438.9650      215.6040      187.2513      42.5290
0.0397      223.7140      396.3820      172.6680      439.3860      215.6720      187.0027      43.0040
0.0407      224.0970      396.3460      172.2490      439.7900      215.6930      186.7303      43.4440
0.0417      224.4790      396.3270      171.8480      440.2240      215.7450      186.4803      43.8970
0.0427      224.8320      396.3730      171.5410      440.5890      215.7570      186.2797      44.2160
0.0427      225.1590      396.3640      171.2050      440.9460      215.7870      186.0657      44.5820
0.0437      225.5370      396.3630      170.8260      441.3410      215.8040      185.8187      44.9780
0.0447      225.8830      396.3540      170.4710      441.6990      215.8160      185.5860      45.3450
0.0447      226.2760      396.3360      170.0600      442.0730      215.7970      185.3057      45.7370
0.0457      226.6360      396.3080      169.6720      442.4630      215.8270      185.0570      46.1550
0.0467      226.9850      396.4000      169.4150      442.8390      215.8540      184.8947      46.4390
0.0467      227.3240      396.4280      169.1040      443.1870      215.8630      184.6903      46.7590
0.0477      227.7170      396.3450      168.6280      443.5840      215.8670      184.3743      47.2390
0.0487      228.0480      396.3450      168.2970      443.9400      215.8920      184.1620      47.5950
0.0487      228.3530      396.3550      168.0020      444.2580      215.9050      183.9697      47.9030
0.0497      228.7200      396.3630      167.6430      444.5930      215.8730      183.7197      48.2300
0.0497      229.0800      396.4000      167.3200      444.9130      215.8330      183.4910      48.5130
0.0506      229.2130      396.2720      167.0590      445.2590      216.0460      183.3880      48.9870
0.0516      229.7460      396.3820      166.6360      445.5530      215.8070      183.0263      49.1710
0.0516      230.0800      396.4460      166.3660      445.9060      215.8260      182.8527      49.4600
0.0526      230.4150      396.3910      165.9760      446.2410      215.8260      182.5927      49.8500
0.0536      230.7560      396.2530      165.4970      446.5840      215.8280      182.2740      50.3310
0.0536      231.0690      396.3820      165.3130      446.9290      215.8600      182.1620      50.5470
0.0536      231.3700      396.4090      165.0390      447.2390      215.8690      181.9823      50.8300
0.0546      231.7050      396.3180      164.6130      447.5820      215.8770      181.7010      51.2640
0.0556      232.0500      396.3450      164.2950      447.8410      215.7910      181.4603      51.4960
0.0556      232.3440      396.3540      164.0100      448.1340      215.7900      181.2700      51.7800
0.0566      232.6710      396.3270      163.6560      448.5130      215.8420      181.0513      52.1860
0.0566      232.9870      396.3720      163.3850      448.7980      215.8110      180.8603      52.4260
0.0576      233.3470      396.3450      162.9980      449.1230      215.7760      180.5907      52.7780
0.0586      233.6820      396.4640      162.7820      449.4120      215.7300      180.4313      52.9480
0.0586      233.9760      396.3730      162.3970      449.7540      215.7780      180.1907      53.3810
0.0596      234.3100      396.3720      162.0620      450.0480      215.7380      179.9540      53.6760
0.0596      234.6190      396.3270      161.7080      450.3850      215.7660      179.7273      54.0580
0.0606      234.9500      396.3540      161.4040      450.6630      215.7130      179.5070      54.3090
0.0606      235.2400      396.3630      161.1230      450.9160      215.6760      179.3073      54.5530
0.0616      235.5780      396.3350      160.7570      451.2090      215.6310      179.0483      54.8740
0.0616      235.8760      396.4460      160.5700      451.4810      215.6050      178.9150      55.0350
0.0626      236.1550      396.3810      160.2260      451.7700      215.6150      178.6890      55.3890
0.0636      236.5080      396.3720      159.8640      452.0950      215.5870      178.4383      55.7230
0.0636      236.7910      396.4000      159.6090      452.3850      215.5940      178.2707      55.9850
0.0645      237.0780      396.3910      159.3130      452.6240      215.5460      178.0573      56.2330
0.0645      237.4270      396.3820      158.9550      452.9130      215.4860      177.7987      56.5310
0.0655      237.7030      396.3730      158.6700      453.1920      215.4890      177.6097      56.8190
0.0655      238.0010      396.3820      158.3810      453.4780      215.4770      177.4130      57.0960
0.0665      238.3240      396.4370      158.1130      453.7490      215.4250      177.2170      57.3120
0.0675      238.6140      396.3260      157.7120      454.0330      215.4190      176.9477      57.7070
0.0675      238.9120      396.3630      157.4510      454.2890      215.3770      176.7597      57.9260
0.0685      239.2020      396.3260      157.1240      454.5830      215.3810      176.5430      58.2570
0.0685      239.5370      396.3730      156.8360      454.8730      215.3360      176.3360      58.5000
0.0695      239.8420      396.4190      156.5770      455.1360      215.2940      176.1493      58.7170
0.0705      240.1360      396.3360      156.2000      455.4650      215.3290      175.9097      59.1290
0.0705      240.4520      396.3730      155.9210      455.7480      215.2960      175.7127      59.3750
0.0715      240.7640      396.4180      155.6540      455.9750      215.2110      175.5063      59.5570
0.0725      241.1060      396.4090      155.3030      456.2790      215.1730      175.2597      59.8700
0.0725      241.3780      396.4370      155.0590      456.5320      215.1540      175.0907      60.0950
0.0735      241.6720      396.3630      154.6910      456.7910      215.1190      174.8337      60.4280
0.0745      242.0250      396.3450      154.3200      457.0930      215.0680      174.5693      60.7480
0.0745      242.2930      396.2800      153.9870      457.3680      215.0750      174.3497      61.0880
0.0755      242.6060      396.3360      153.7300      457.6660      215.0600      174.1733      61.3300
0.0765      242.9070      396.3910      153.4840      457.9200      215.0130      173.9937      61.5290
0.0765      243.2160      396.4090      153.1930      458.1790      214.9630      173.7830      61.7700
0.0775      243.5140      396.3360      152.8220      458.4380      214.9240      173.5227      62.1020
0.0785      243.8480      396.4280      152.5800      458.6880      214.8400      173.3333      62.2600
0.0785      244.1490      396.3720      152.2230      458.9930      214.8440      173.0967      62.6210
0.0794      244.4540      396.4360      151.9820      459.1630      214.7090      172.8910      62.7270
0.0804      244.7300      396.3720      151.6420      459.4350      214.7050      172.6630      63.0630
0.0804      245.0390      396.3180      151.2790      459.7410      214.7020      172.4200      63.4230
0.0814      245.3400      396.3630      151.0230      459.9530      214.6130      172.2197      63.5900
0.0824      245.6750      396.3360      150.6610      460.2000      214.5250      171.9490      63.8640
0.0834      245.9360      396.4010      150.4650      460.4630      214.5270      171.8190      64.0620
0.0834      246.2480      396.3360      150.0880      460.7200      214.4720      171.5493      64.3840
0.0844      246.5600      396.3260      149.7660      460.9690      214.4090      171.3137      64.6430
0.0854      246.8550      396.3730      149.5180      461.2260      214.3710      171.1357      64.8530
0.0854      247.1560      396.4190      149.2630      461.4820      214.3260      170.9507      65.0630
0.0864      247.4610      396.3820      148.9210      461.6970      214.2360      170.6927      65.3150
0.0864      247.7330      396.3180      148.5850      461.9040      214.1710      170.4470      65.5860
0.0874      248.0120      396.3260      148.3140      462.1140      214.1020      170.2433      65.7880
0.0884      248.3210      396.3540      148.0330      462.3740      214.0530      170.0397      66.0200
0.0884      248.5780      396.3820      147.8040      462.6120      214.0340      169.8807      66.2300
0.0894      248.8980      396.3630      147.4650      462.8820      213.9840      169.6380      66.5190
0.0904      249.1850      396.3360      147.1510      463.0810      213.8960      169.3993      66.7450
0.0914      249.4570      396.3450      146.8880      463.2980      213.8410      169.2057      66.9530
0.0914      249.7320      396.3450      146.6130      463.5310      213.7990      169.0083      67.1860
0.0924      250.0340      396.3270      146.2930      463.7610      213.7270      168.7710      67.4340
0.0924      250.2980      396.3630      146.0650      463.9540      213.6560      168.5953      67.5910
0.0933      250.6070      396.4180      145.8110      464.1510      213.5440      168.3887      67.7330
0.0943      250.8790      396.2990      145.4200      464.3980      213.5190      168.1197      68.0990
0.0943      251.1580      396.4180      145.2600      464.5820      213.4240      167.9813      68.1640
0.0953      251.4190      396.4180      144.9990      464.8250      213.4060      167.8013      68.4070
0.0963      251.7100      396.3640      144.6540      465.0520      213.3420      167.5500      68.6880
0.0963      252.0000      396.3080      144.3080      465.3000      213.3000      167.3053      68.9920
0.0973      252.2720      396.4000      144.1280      465.4570      213.1850      167.1470      69.0570
0.0983      252.5700      396.3450      143.7750      465.7480      213.1780      166.9093      69.4030
0.0983      252.8270      396.3080      143.4810      465.9570      213.1300      166.6973      69.6490
0.0993      253.1060      396.3630      143.2570      466.1380      213.0320      166.5153      69.7750
0.1003      253.4000      396.2900      142.8900      466.3500      212.9500      166.2433      70.0600
0.1013      253.6470      396.2900      142.6430      466.5270      212.8800      166.0553      70.2370
0.1013      253.9080      396.4370      142.5290      466.7230      212.8150      165.9577      70.2860
0.1023      254.1800      396.3000      142.1200      466.9660      212.7860      165.6753      70.6660
0.1023      254.4770      396.2990      141.8220      467.1560      212.6790      165.4410      70.8570
0.1033      254.7530      396.3080      141.5550      467.3550      212.6020      165.2373      71.0470
0.1043      255.0030      396.3640      141.3610      467.5410      212.5380      165.0867      71.1770
0.1053      255.2640      396.3180      141.0540      467.7440      212.4800      164.8627      71.4260
0.1053      255.5760      396.3270      140.7510      467.9500      212.3740      164.6253      71.6230
0.1063      255.8040      396.2810      140.4770      468.1130      212.3090      164.4210      71.8320
0.1072      256.0940      396.3720      140.2780      468.2840      212.1900      164.2487      71.9120
0.1072      256.3630      396.2440      139.8810      468.4940      212.1310      163.9643      72.2500
0.1082      256.6050      396.3540      139.7490      468.6970      212.0920      163.8633      72.3430
0.1092      256.8700      396.4650      139.5950      468.8900      212.0200      163.7367      72.4250
0.1092      257.1530      396.3180      139.1650      469.0810      211.9280      163.4193      72.7630
0.1102      257.4030      396.3360      138.9330      469.2570      211.8540      163.2400      72.9210
0.1112      257.6710      396.3630      138.6920      469.4440      211.7730      163.0523      73.0810
0.1112      257.9320      396.2990      138.3670      469.6800      211.7480      162.8273      73.3810
0.1122      258.1670      396.3260      138.1590      469.8780      211.7110      162.6763      73.5520
0.1132      258.4280      396.3260      137.8980      469.9750      211.5470      162.4477      73.6490
0.1132      258.6860      396.2810      137.5950      470.1430      211.4570      162.2157      73.8620
0.1142      258.9390      396.3630      137.4240      470.3330      211.3940      162.0807      73.9700
0.1152      259.1740      396.3540      137.1800      470.5280      211.3540      161.9047      74.1740
0.1152      259.4570      396.3810      136.9240      470.7170      211.2600      161.7027      74.3360
0.1162      259.7220      396.2810      136.5590      470.9130      211.1910      161.4363      74.6320
0.1172      259.9760      396.3550      136.3790      471.0810      211.1050      161.2877      74.7260
0.1172      260.2260      396.3910      136.1650      471.1920      210.9660      161.0987      74.8010
