eps1          u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000       199.5950      400.1100      200.5150      399.7170      200.1220      200.3840      -0.3930
0.0000       199.4630      400.1650      200.7020      399.3920      199.9290      200.4443      -0.7730
0.0000       199.2980      400.1380      200.8400      398.9080      199.6100      200.4300      -1.2300
0.0000       199.0840      400.1280      201.0440      398.4110      199.3270      200.4717      -1.7170
0.0000       198.8570      400.0740      201.2170      397.7560      198.8990      200.4443      -2.3180
0.0000       198.4930      400.1100      201.6170      396.9470      198.4540      200.5627      -3.1630
-0.0010      198.1510      400.1740      202.0230      396.1000      197.9490      200.6650      -4.0740
-0.0010      197.7760      400.2200      202.4440      395.0820      197.3060      200.7313      -5.1380
-0.0020      197.4340      400.1650      202.7310      394.1920      196.7580      200.7400      -5.9730
-0.0030      197.1180      400.1380      203.0200      393.2780      196.1600      200.7333      -6.8600
-0.0040      196.8020      400.2020      203.4000      392.3510      195.5490      200.7830      -7.8510
-0.0050      196.4160      400.1380      203.7220      391.5400      195.1240      200.8560      -8.5980
-0.0050      196.0740      400.0090      203.9350      390.6850      194.6110      200.8270      -9.3240
-0.0060      195.7730      400.0640      204.2910      389.7820      194.0090      200.8637      -10.2820
-0.0070      195.4390      400.1200      204.6810      388.8200      193.3810      200.9143      -11.3000
-0.0080      195.1190      400.1100      204.9910      387.9130      192.7940      200.9253      -12.1970
-0.0080      194.8210      400.1010      205.2800      387.0530      192.2320      200.9307      -13.0480
-0.0090      194.5340      400.1190      205.5850      386.2450      191.7110      200.9603      -13.8740
-0.0100      194.2920      400.1290      205.8370      385.4390      191.1470      200.9403      -14.6900
-0.0100      194.0090      400.1560      206.1470      384.6040      190.5950      200.9630      -15.5520
-0.0110      193.7660      400.1100      206.3440      383.8680      190.1020      200.9300      -16.2420
-0.0120      193.5710      400.1190      206.5480      383.1670      189.5960      200.8973      -16.9520
-0.0130      193.3330      400.1110      206.7780      382.5010      189.1680      200.9080      -17.6100
-0.0140      193.0970      400.0730      206.9760      381.7810      188.6840      200.8787      -18.2920
-0.0150      192.9100      400.1100      207.2000      381.0020      188.0920      200.8307      -19.1080
-0.0150      192.7000      400.1280      207.4280      380.2260      187.5260      200.7940      -19.9020
-0.0160      192.5130      400.1650      207.6520      379.5120      186.9990      200.7677      -20.6530
-0.0170      192.3510      400.1560      207.8050      378.8520      186.5010      200.7037      -21.3040
-0.0180      192.1750      400.1930      208.0180      378.2250      186.0500      200.6953      -21.9680
-0.0180      192.0310      400.1010      208.0700      377.6090      185.5780      200.5727      -22.4920
-0.0190      191.8880      400.1650      208.2770      376.9580      185.0700      200.5413      -23.2070
-0.0200      191.7410      400.0920      208.3510      376.3930      184.6520      200.4513      -23.6990
-0.0210      191.6350      400.1380      208.5030      375.7750      184.1400      200.3820      -24.3630
-0.0220      191.5280      400.1650      208.6370      375.1170      183.5890      200.2877      -25.0480
-0.0230      191.3850      400.1290      208.7440      374.5040      183.1190      200.2023      -25.6250
-0.0230      191.2450      400.1290      208.8840      373.9250      182.6800      200.1493      -26.2040
-0.0240      191.1600      400.1470      208.9870      373.3310      182.1710      200.0483      -26.8160
-0.0240      191.0210      400.2020      209.1810      372.6860      181.6650      200.0090      -27.5160
-0.0250      190.9620      400.1650      209.2030      372.0680      181.1060      199.8373      -28.0970
-0.0260      190.8190      400.1570      209.3380      371.5140      180.6950      199.7903      -28.6430
-0.0260      190.7710      400.0830      209.3120      370.9810      180.2100      199.6113      -29.1020
-0.0270      190.7050      400.1470      209.4420      370.4680      179.7630      199.5490      -29.6790
-0.0270      190.6160      400.1560      209.5400      369.8720      179.2560      199.4453      -30.2840
-0.0280      190.5430      400.1380      209.5950      369.3270      178.7840      199.3247      -30.8110
-0.0290      190.5280      400.0730      209.5450      368.8140      178.2860      199.1253      -31.2590
-0.0300      190.3920      400.1740      209.7820      368.2780      177.8860      199.1500      -31.8960
-0.0300      190.3480      400.0920      209.7440      367.7180      177.3700      198.9527      -32.3740
-0.0310      190.2890      400.1100      209.8210      367.1060      176.8170      198.8197      -33.0040
-0.0310      190.2120      400.2020      209.9900      366.5610      176.3490      198.7763      -33.6410
-0.0320      190.1530      400.1010      209.9480      366.0570      175.9040      198.6000      -34.0440
-0.0320      190.0980      400.1560      210.0580      365.5750      175.4770      198.5310      -34.5810
-0.0330      190.0610      400.1920      210.1310      365.0570      174.9960      198.4193      -35.1350
-0.0330      190.0170      400.1560      210.1390      364.5340      174.5170      198.2650      -35.6220
-0.0340      189.9840      400.1100      210.1260      364.0240      174.0400      198.0973      -36.0860
-0.0350      189.9660      400.0550      210.0890      363.5240      173.5580      197.9120      -36.5310
-0.0350      189.8810      400.1190      210.2380      363.0250      173.1440      197.8733      -37.0940
-0.0360      189.8370      400.1560      210.3190      362.5250      172.6880      197.7753      -37.6310
-0.0360      189.8340      400.0650      210.2310      361.9900      172.1560      197.5393      -38.0750
-0.0370      189.7780      400.2290      210.4510      361.3980      171.6200      197.5073      -38.8310
-0.0380      189.7820      400.1010      210.3190      360.9040      171.1220      197.2533      -39.1970
-0.0380      189.7420      400.2300      210.4880      360.4450      170.7030      197.2263      -39.7850
-0.0390      189.7750      400.1560      210.3810      360.0540      170.2790      197.0137      -40.1020
-0.0390      189.7340      400.1190      210.3850      359.6030      169.8690      196.8797      -40.5160
-0.0400      189.7450      400.1830      210.4380      359.1010      169.3560      196.7440      -41.0820
-0.0410      189.7380      400.2110      210.4730      358.6290      168.8910      196.6123      -41.5820
-0.0410      189.7200      400.1930      210.4730      358.1750      168.4550      196.4670      -42.0180
-0.0420      189.7160      400.1290      210.4130      357.7630      168.0470      196.2910      -42.3660
-0.0430      189.7160      400.1470      210.4310      357.2420      167.5260      196.1293      -42.9050
-0.0430      189.7230      400.1920      210.4690      356.7660      167.0430      195.9937      -43.4260
-0.0440      189.7380      400.1650      210.4270      356.2770      166.5390      195.7977      -43.8880
-0.0440      189.7420      400.1930      210.4510      355.8420      166.1000      195.6673      -44.3510
-0.0450      189.7890      400.1280      210.3390      355.4950      165.7060      195.4613      -44.6330
-0.0460      189.7860      400.1200      210.3340      355.1260      165.3400      195.3360      -44.9940
-0.0460      189.8000      400.1560      210.3560      354.6990      164.8990      195.2037      -45.4570
-0.0470      189.8260      400.1650      210.3390      354.2850      164.4590      195.0457      -45.8800
-0.0480      189.8670      400.0920      210.2250      353.8330      163.9660      194.8053      -46.2590
-0.0480      189.8700      400.2020      210.3320      353.4140      163.5440      194.7360      -46.7880
-0.0490      189.8560      400.1290      210.2730      353.0490      163.1930      194.5797      -47.0800
-0.0490      189.9180      400.0640      210.1460      352.6370      162.7190      194.3370      -47.4270
-0.0500      189.9440      400.0640      210.1200      352.2440      162.3000      194.1800      -47.8200
-0.0510      189.9730      400.1560      210.1830      351.8550      161.8820      194.0827      -48.3010
-0.0520      190.0060      400.1370      210.1310      351.4620      161.4560      193.9060      -48.6750
-0.0520      190.0650      400.1100      210.0450      351.1520      161.0870      193.7257      -48.9580
-0.0530      190.0800      400.1650      210.0850      350.7790      160.6990      193.6230      -49.3860
-0.0530      190.1240      400.1190      209.9950      350.3960      160.2720      193.4207      -49.7230
-0.0540      190.1830      400.1380      209.9550      350.0100      159.8270      193.2457      -50.1280
-0.0550      190.2010      400.1650      209.9640      349.5770      159.3760      193.1013      -50.5880
-0.0550      190.2420      400.2020      209.9600      349.2020      158.9600      192.9600      -51.0000
-0.0560      190.2750      400.1660      209.8910      348.8350      158.5600      192.7807      -51.3310
-0.0570      190.3520      400.1290      209.7770      348.4640      158.1120      192.5553      -51.6650
-0.0570      190.4070      400.1930      209.7860      348.1290      157.7220      192.4313      -52.0640
-0.0580      190.4550      400.2110      209.7560      347.7610      157.3060      192.2727      -52.4500
-0.0580      190.5100      400.1470      209.6370      347.4260      156.9160      192.0633      -52.7210
-0.0590      190.5800      400.1470      209.5670      347.1530      156.5730      191.9023      -52.9940
-0.0590      190.5980      400.2110      209.6130      346.7480      156.1500      191.7920      -53.4630
-0.0600      190.6830      400.1660      209.4830      346.5110      155.8280      191.5980      -53.6550
-0.0610      190.7270      400.1660      209.4390      346.0590      155.3320      191.4033      -54.1070
-0.0610      190.7520      400.1560      209.4040      345.7440      154.9920      191.2667      -54.4120
-0.0620      190.8520      400.1750      209.3230      345.3980      154.5460      191.0640      -54.7770
-0.0630      190.8960      400.1380      209.2420      345.0820      154.1860      190.8900      -55.0560
-0.0630      190.9800      400.1650      209.1850      344.7770      153.7970      190.7223      -55.3880
-0.0640      191.0650      400.1650      209.1000      344.4710      153.4060      190.5353      -55.6940
-0.0640      191.1350      400.2110      209.0760      344.1800      153.0450      190.3990      -56.0310
-0.0650      191.1860      400.1840      208.9980      343.8940      152.7080      190.2347      -56.2900
-0.0650      191.2890      400.2390      208.9500      343.5580      152.2690      190.0563      -56.6810
-0.0660      191.3400      400.1280      208.7880      343.2770      151.9370      189.8377      -56.8510
-0.0670      191.4290      400.1560      208.7270      342.9360      151.5070      189.6537      -57.2200
-0.0670      191.4990      400.1840      208.6850      342.6090      151.1100      189.4933      -57.5750
-0.0680      191.5570      400.1560      208.5990      342.3230      150.7660      189.3213      -57.8330
-0.0690      191.6120      400.1830      208.5710      342.0360      150.4240      189.1887      -58.1470
-0.0690      191.7080      400.1290      208.4210      341.7620      150.0540      188.9653      -58.3670
-0.0700      191.7930      400.1930      208.4000      341.5320      149.7390      188.8463      -58.6610
-0.0700      191.8840      400.1280      208.2440      341.2620      149.3780      188.6220      -58.8660
-0.0710      192.0020      400.1560      208.1540      340.9680      148.9660      188.4247      -59.1880
-0.0720      192.0610      400.1930      208.1320      340.7040      148.6430      188.3023      -59.4890
-0.0720      192.1380      400.1470      208.0090      340.4020      148.2640      188.0940      -59.7450
-0.0730      192.2590      400.2020      207.9430      340.0570      147.7980      187.8947      -60.1450
-0.0740      192.3220      400.2020      207.8800      339.7770      147.4550      187.7383      -60.4250
-0.0740      192.3990      400.1190      207.7200      339.5450      147.1460      187.5287      -60.5740
-0.0750      192.4980      400.2570      207.7590      339.3010      146.8030      187.4403      -60.9560
-0.0760      192.5830      400.2110      207.6280      339.0490      146.4660      187.2407      -61.1620
-0.0760      192.6670      400.1560      207.4890      338.7890      146.1220      187.0333      -61.3670
-0.0770      192.8000      400.1930      207.3930      338.5870      145.7870      186.8577      -61.6060
-0.0780      192.8950      400.2390      207.3440      338.3570      145.4620      186.7167      -61.8820
-0.0780      192.9760      400.1740      207.1980      338.0850      145.1090      186.5017      -62.0890
-0.0790      193.0310      400.1560      207.1250      337.8330      144.8020      186.3507      -62.3230
-0.0800      193.1450      400.1840      207.0390      337.5640      144.4190      186.1657      -62.6200
-0.0800      193.2370      400.2300      206.9930      337.3030      144.0660      186.0173      -62.9270
-0.0810      193.3360      400.2200      206.8840      337.0350      143.6990      185.8223      -63.1850
-0.0820      193.4650      400.1930      206.7280      336.8110      143.3460      185.6007      -63.3820
-0.0820      193.5530      400.2020      206.6490      336.5800      143.0270      185.4417      -63.6220
-0.0830      193.6450      400.2020      206.5570      336.2920      142.6470      185.2537      -63.9100
-0.0840      193.7520      400.1570      206.4050      336.1020      142.3500      185.0533      -64.0550
-0.0840      193.8540      400.1370      206.2830      335.9270      142.0730      184.8797      -64.2100
-0.0850      193.9900      400.1280      206.1380      335.7460      141.7560      184.6773      -64.3820
-0.0860      194.0750      400.1740      206.0990      335.4660      141.3910      184.5297      -64.7080
-0.0860      194.1600      400.1660      206.0060      335.2360      141.0760      184.3627      -64.9300
-0.0870      194.2950      400.1190      205.8240      335.0260      140.7310      184.1263      -65.0930
-0.0880      194.3760      400.1650      205.7890      334.7530      140.3770      183.9850      -65.4120
-0.0880      194.4760      400.2120      205.7360      334.5180      140.0420      183.8380      -65.6940
-0.0890      194.6150      400.1190      205.5040      334.3410      139.7260      183.5780      -65.7780
-0.0900      194.7030      400.2020      205.4990      334.1100      139.4070      183.4683      -66.0920
-0.0900      194.8170      400.1830      205.3660      333.9070      139.0900      183.2740      -66.2760
-0.0910      194.9240      400.1930      205.2690      333.7080      138.7840      183.1073      -66.4850
-0.0920      195.0670      400.1100      205.0430      333.5400      138.4730      182.8530      -66.5700
-0.0920      195.2070      400.2480      205.0410      333.2910      138.0840      182.7220      -66.9570
-0.0930      195.3060      400.1740      204.8680      333.1030      137.7970      182.5110      -67.0710
-0.0940      195.4160      400.2200      204.8040      332.9060      137.4900      182.3660      -67.3140
-0.0940      195.5270      400.1200      204.5930      332.7250      137.1980      182.1280      -67.3950
-0.0950      195.6550      400.2200      204.5650      332.5370      136.8820      182.0040      -67.6830
-0.0950      195.7400      400.1290      204.3890      332.3550      136.6150      181.7977      -67.7740
-0.0960      195.9050      400.2020      204.2970      332.1950      136.2900      181.6280      -68.0070
-0.0970      196.0190      400.0730      204.0540      332.0420      136.0230      181.3770      -68.0310
-0.0970      196.1300      400.1660      204.0360      331.8650      135.7350      181.2690      -68.3010
-0.0980      196.2840      400.2300      203.9460      331.6930      135.4090      181.1003      -68.5370
-0.0980      196.4050      400.1100      203.7050      331.5630      135.1580      180.8560      -68.5470
-0.0990      196.5010      400.1660      203.6650      331.3720      134.8710      180.7337      -68.7940
-0.0990      196.5930      400.1660      203.5730      331.2050      134.6120      180.5860      -68.9610
-0.1000      196.7580      400.1930      203.4350      331.0150      134.2570      180.3757      -69.1780
-0.1010      196.8390      400.1930      203.3540      330.8440      134.0050      180.2377      -69.3490
-0.1010      196.9710      400.1280      203.1570      330.6400      133.6690      179.9943      -69.4880
-0.1020      197.1110      400.1750      203.0640      330.4830      133.3720      179.8333      -69.6920
-0.1030      197.2390      400.1650      202.9260      330.3890      133.1500      179.6673      -69.7760
-0.1030      197.3790      400.2480      202.8690      330.2290      132.8500      179.5293      -70.0190
-0.1040      197.5040      400.2750      202.7710      330.0400      132.5360      179.3593      -70.2350
-0.1050      197.6290      400.1930      202.5640      329.8610      132.2320      179.1200      -70.3320
-0.1050      197.7430      400.1290      202.3860      329.6680      131.9250      178.8990      -70.4610
-0.1060      197.8500      400.2210      202.3710      329.4980      131.6480      178.7967      -70.7230
-0.1060      197.9780      400.2200      202.2420      329.3660      131.3880      178.6240      -70.8540
-0.1070      198.1000      400.2030      202.1030      329.2320      131.1320      178.4460      -70.9710
-0.1080      198.2390      400.2480      202.0090      329.0780      130.8390      178.2857      -71.1700
-0.1080      198.3600      400.1830      201.8230      328.8820      130.5220      178.0560      -71.3010
-0.1090      198.5070      400.1650      201.6580      328.7980      130.2910      177.8690      -71.3670
-0.1100      198.6100      400.2290      201.6190      328.6690      130.0590      177.7657      -71.5600
-0.1110      198.7650      400.2670      201.5020      328.6030      129.8380      177.6140      -71.6640
-0.1110      198.8860      400.1930      201.3070      328.4630      129.5770      177.3970      -71.7300
-0.1120      199.0110      400.2020      201.1910      328.2310      129.2200      177.2007      -71.9710
