eps1          u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000       199.5210      600.4010      400.8800      599.6930      400.1720      400.6440      -0.7080
0.0000       199.3260      600.2810      400.9550      599.2940      399.9680      400.6260      -0.9870
0.0000       199.1240      600.3000      401.1760      598.7200      399.5960      400.6493      -1.5800
0.0000       198.8780      600.2910      401.4130      598.0390      399.1610      400.6623      -2.2520
0.0000       198.6020      600.3090      401.7070      597.3330      398.7310      400.7150      -2.9760
0.0000       198.3190      600.3000      401.9810      596.5900      398.2710      400.7443      -3.7100
0.0000       197.9740      600.2910      402.3170      595.6580      397.6840      400.7727      -4.6330
0.0000       197.6250      600.3190      402.6940      594.7690      397.1440      400.8440      -5.5500
0.0000       197.1730      600.2360      403.0630      593.5300      396.3570      400.8277      -6.7060
0.0000       196.6620      600.3280      403.6660      592.2220      395.5600      400.9640      -8.1060
0.0000       196.1400      600.3460      404.2060      590.7390      394.5990      401.0037      -9.6070
-0.0010      195.5920      600.3090      404.7170      589.3470      393.7550      401.0630      -10.9620
-0.0020      195.0590      600.3180      405.2590      587.9270      392.8680      401.1287      -12.3910
-0.0030      194.5260      600.3090      405.7830      586.6090      392.0830      401.2163      -13.7000
-0.0040      194.0010      600.3560      406.3550      585.1310      391.1300      401.2800      -15.2250
-0.0050      193.4640      600.2720      406.8080      583.8290      390.3650      401.3270      -16.4430
-0.0060      192.9790      600.2630      407.2840      582.3340      389.3550      401.3077      -17.9290
-0.0060      192.4680      600.3640      407.8960      580.9730      388.5050      401.4323      -19.3910
-0.0070      191.9130      600.3370      408.4240      579.5940      387.6810      401.5097      -20.7430
-0.0080      191.3580      600.3180      408.9600      578.0750      386.7170      401.5457      -22.2430
-0.0090      190.8440      600.2640      409.4200      576.7070      385.8630      401.5677      -23.5570
-0.0100      190.2920      600.3730      410.0810      575.2550      384.9630      401.7083      -25.1180
-0.0110      189.7850      600.3640      410.5790      573.9020      384.1170      401.7583      -26.4620
-0.0110      189.2740      600.3280      411.0540      572.5360      383.2620      401.7900      -27.7920
-0.0120      188.7850      600.2540      411.4690      571.1560      382.3710      401.7697      -29.0980
-0.0130      188.3220      600.3640      412.0420      569.8220      381.5000      401.8613      -30.5420
-0.0140      187.8450      600.3370      412.4920      568.5090      380.6640      401.8827      -31.8280
-0.0150      187.3670      600.3190      412.9520      567.1530      379.7860      401.8967      -33.1660
-0.0160      186.9620      600.3000      413.3380      565.8370      378.8750      401.8503      -34.4630
-0.0170      186.5180      600.3650      413.8470      564.5430      378.0250      401.9063      -35.8220
-0.0170      186.1280      600.3920      414.2640      563.3110      377.1830      401.9037      -37.0810
-0.0181      185.7240      600.2910      414.5670      562.1490      376.4250      401.8530      -38.1420
-0.0191      185.4300      600.2730      414.8430      560.9740      375.5440      401.7433      -39.2990
-0.0201      185.0880      600.3650      415.2770      559.9200      374.8320      401.7953      -40.4450
-0.0201      184.8160      600.4010      415.5850      558.9200      374.1040      401.7580      -41.4810
-0.0221      184.5660      600.3280      415.7620      557.9250      373.3590      401.6277      -42.4030
-0.0221      184.3350      600.2920      415.9570      556.9160      372.5810      401.4983      -43.3760
-0.0231      184.1140      600.4290      416.3150      555.8360      371.7220      401.4507      -44.5930
-0.0231      183.9270      600.3470      416.4200      554.9360      371.0090      401.2830      -45.4110
-0.0241      183.7830      600.2910      416.5080      554.0380      370.2550      401.0903      -46.2530
-0.0251      183.5960      600.3280      416.7320      553.1280      369.5320      400.9987      -47.2000
-0.0261      183.4670      600.3180      416.8510      552.2240      368.7570      400.8197      -48.0940
-0.0261      183.3610      600.3280      416.9670      551.3240      367.9630      400.6323      -49.0040
-0.0271      183.2650      600.2820      417.0170      550.5520      367.2870      400.4403      -49.7300
-0.0281      183.1510      600.3550      417.2040      549.7200      366.5690      400.3257      -50.6350
-0.0291      183.0440      600.3640      417.3200      548.8670      365.8230      400.1543      -51.4970
-0.0291      182.9820      600.3090      417.3270      548.0070      365.0250      399.8930      -52.3020
-0.0301      182.8390      600.3830      417.5440      547.1240      364.2850      399.7910      -53.2590
-0.0311      182.7280      600.4010      417.6730      546.2430      363.5150      399.6203      -54.1580
-0.0311      182.6220      600.3560      417.7340      545.4540      362.8320      399.4333      -54.9020
-0.0321      182.5340      600.2730      417.7390      544.6330      362.0990      399.1923      -55.6400
-0.0331      182.4600      600.3740      417.9140      543.7690      361.3090      399.0457      -56.6050
-0.0331      182.3350      600.3370      418.0020      542.9810      360.6460      398.8833      -57.3560
-0.0341      182.2400      600.3470      418.1070      542.1900      359.9500      398.7213      -58.1570
-0.0341      182.2070      600.2550      418.0480      541.4290      359.2220      398.4393      -58.8260
-0.0351      182.1260      600.2820      418.1560      540.6400      358.5140      398.2753      -59.6420
-0.0361      182.0520      600.3740      418.3220      539.8290      357.7770      398.1403      -60.5450
-0.0361      181.9860      600.5390      418.5530      539.0240      357.0380      398.0480      -61.5150
-0.0371      181.9050      600.3090      418.4040      538.3050      356.4000      397.7360      -62.0040
-0.0381      181.8350      600.3180      418.4830      537.5130      355.6780      397.5480      -62.8050
-0.0381      181.7620      600.3100      418.5480      536.7340      354.9720      397.3560      -63.5760
-0.0391      181.7210      600.2450      418.5240      535.9580      354.2370      397.0950      -64.2870
-0.0391      181.6700      600.3190      418.6490      535.1710      353.5010      396.9330      -65.1480
-0.0401      181.6110      600.3640      418.7530      534.4500      352.8390      396.7817      -65.9140
-0.0411      181.5780      600.3280      418.7500      533.7270      352.1490      396.5497      -66.6010
-0.0411      181.5670      600.3550      418.7880      533.0150      351.4480      396.3413      -67.3400
-0.0421      181.5300      600.3090      418.7790      532.2760      350.7460      396.1013      -68.0330
-0.0421      181.4600      600.3550      418.8950      531.6040      350.1440      395.9780      -68.7510
-0.0431      181.4200      600.3090      418.8890      530.8250      349.4050      395.7277      -69.4840
-0.0441      181.3800      600.3930      419.0130      530.0490      348.6690      395.5650      -70.3440
-0.0441      181.3390      600.3550      419.0160      529.3010      347.9620      395.3313      -71.0540
-0.0451      181.3240      600.2450      418.9210      528.6150      347.2910      395.0443      -71.6300
-0.0461      181.2950      600.2910      418.9960      527.9280      346.6330      394.8750      -72.3630
-0.0461      181.2550      600.2550      419.0000      527.3010      346.0460      394.6820      -72.9540
-0.0471      181.2620      600.2910      419.0290      526.5820      345.3200      394.4593      -73.7090
-0.0471      181.2660      600.3560      419.0900      525.8880      344.6220      394.2673      -74.4680
-0.0481      181.2800      600.3640      419.0840      525.2220      343.9420      394.0367      -75.1420
-0.0491      181.2620      600.4570      419.1950      524.5390      343.2770      393.8890      -75.9180
-0.0491      181.2330      600.3010      419.0680      523.8730      342.6400      393.5920      -76.4280
-0.0501      181.2250      600.2910      419.0660      523.1790      341.9540      393.3620      -77.1120
-0.0501      181.2400      600.4380      419.1980      522.4260      341.1860      393.1940      -78.0120
-0.0511      181.2070      600.3460      419.1390      521.7370      340.5300      392.9360      -78.6090
-0.0522      181.1880      600.3460      419.1580      521.0700      339.8820      392.7327      -79.2760
-0.0532      181.1990      600.3460      419.1470      520.4400      339.2410      392.5117      -79.9060
-0.0532      181.2360      600.3920      419.1560      519.8120      338.5760      392.2960      -80.5800
-0.0542      181.2660      600.3650      419.0990      519.2250      337.9590      392.0523      -81.1400
-0.0542      181.2910      600.4010      419.1100      518.5500      337.2590      391.8263      -81.8510
-0.0552      181.2770      600.3740      419.0970      517.8730      336.5960      391.5967      -82.5010
-0.0562      181.2470      600.3280      419.0810      517.3220      336.0750      391.4123      -83.0060
-0.0562      181.2950      600.4010      419.1060      516.6470      335.3520      391.1880      -83.7540
-0.0572      181.3130      600.3270      419.0140      515.9680      334.6550      390.8943      -84.3590
-0.0572      181.3280      600.3190      418.9910      515.3340      334.0060      390.6627      -84.9850
-0.0582      181.3430      600.3650      419.0220      514.7300      333.3870      390.4770      -85.6350
-0.0592      181.3720      600.4100      419.0380      514.0670      332.6950      390.2570      -86.3430
-0.0592      181.4310      600.3280      418.8970      513.5190      332.0880      389.9607      -86.8090
-0.0602      181.4680      600.3280      418.8600      513.0450      331.5770      389.7657      -87.2830
-0.0612      181.5340      600.3830      418.8490      512.4240      330.8900      389.5293      -87.9590
-0.0612      181.5450      600.3000      418.7550      511.8100      330.2650      389.2583      -88.4900
-0.0622      181.5850      600.3000      418.7150      511.2590      329.6740      389.0347      -89.0410
-0.0622      181.6110      600.3370      418.7260      510.6620      329.0510      388.8343      -89.6750
-0.0632      181.6150      600.3370      418.7220      510.0290      328.4140      388.6193      -90.3080
-0.0642      181.6740      600.3190      418.6450      509.4540      327.7800      388.3567      -90.8650
-0.0642      181.7140      600.3740      418.6600      508.8480      327.1340      388.1513      -91.5260
-0.0652      181.7800      600.3740      418.5940      508.2360      326.4560      387.8813      -92.1380
-0.0652      181.7910      600.3280      418.5370      507.7810      325.9900      387.6880      -92.5470
-0.0662      181.8980      600.3370      418.4390      507.2330      325.3350      387.4043      -93.1040
-0.0672      181.9270      600.4010      418.4740      506.7290      324.8020      387.2500      -93.6720
-0.0672      181.9790      600.3560      418.3770      506.2060      324.2270      386.9937      -94.1500
-0.0682      182.0370      600.3270      418.2900      505.5810      323.5440      386.7080      -94.7460
-0.0692      182.0710      600.3740      418.3030      505.0210      322.9500      386.5187      -95.3530
-0.0692      182.1040      600.3470      418.2430      504.4200      322.3160      386.2673      -95.9270
-0.0702      182.1590      600.3190      418.1600      503.9120      321.7530      386.0243      -96.4070
-0.0702      182.1810      600.3100      418.1290      503.3830      321.2020      385.8200      -96.9270
-0.0712      182.2730      600.3280      418.0550      502.8180      320.5450      385.5517      -97.5100
-0.0712      182.3240      600.3280      418.0040      502.3120      319.9880      385.3320      -98.0160
-0.0722      182.3900      600.4190      418.0290      501.7400      319.3500      385.1360      -98.6790
-0.0732      182.4670      600.3640      417.8970      501.3080      318.8410      384.8783      -99.0560
-0.0732      182.5260      600.3730      417.8470      500.6980      318.1720      384.6220      -99.6750
-0.0742      182.5590      600.3270      417.7680      500.2200      317.6610      384.3990      -100.1070
-0.0742      182.6110      600.3000      417.6890      499.6450      317.0340      384.1373      -100.6550
-0.0752      182.6510      600.3460      417.6950      499.0770      316.4260      383.9387      -101.2690
-0.0762      182.7320      600.3640      417.6320      498.5040      315.7720      383.6787      -101.8600
-0.0762      182.7950      600.3930      417.5980      497.9780      315.1830      383.4597      -102.4150
-0.0772      182.8610      600.3190      417.4580      497.4440      314.5830      383.1663      -102.8750
-0.0772      182.9450      600.3180      417.3730      496.9860      314.0410      382.9290      -103.3320
-0.0782      183.0190      600.3920      417.3730      496.4340      313.4150      382.7203      -103.9580
-0.0792      183.1250      600.3370      417.2120      495.9390      312.8140      382.4127      -104.3980
-0.0792      183.1990      600.4110      417.2120      495.3620      312.1630      382.1957      -105.0490
-0.0802      183.2390      600.2720      417.0330      494.9380      311.6990      381.9217      -105.3340
-0.0812      183.3200      600.3180      416.9980      494.3400      311.0200      381.6720      -105.9780
-0.0812      183.3860      600.3830      416.9970      493.8490      310.4630      381.4857      -106.5340
-0.0822      183.4970      600.3370      416.8400      493.2810      309.7840      381.1547      -107.0560
-0.0822      183.5520      600.3830      416.8310      492.7610      309.2090      380.9570      -107.6220
-0.0832      183.6730      600.2080      416.5350      492.3080      308.6350      380.5683      -107.9000
-0.0842      183.7610      600.3640      416.6030      491.8530      308.0920      380.4327      -108.5110
-0.0842      183.8420      600.3280      416.4860      491.4390      307.5970      380.1897      -108.8890
-0.0852      183.9820      600.2910      416.3090      490.9410      306.9590      379.8590      -109.3500
-0.0863      184.0410      600.3280      416.2870      490.4010      306.3600      379.6447      -109.9270
-0.0863      184.1400      600.3740      416.2340      489.9250      305.7850      379.4177      -110.4490
-0.0873      184.2130      600.3180      416.1050      489.3900      305.1770      379.1290      -110.9280
-0.0883      184.3010      600.3460      416.0450      488.9490      304.6480      378.9127      -111.3970
-0.0883      184.3900      600.3370      415.9470      488.5160      304.1260      378.6733      -111.8210
-0.0893      184.5150      600.3460      415.8310      487.9960      303.4810      378.3810      -112.3500
-0.0903      184.6470      600.3460      415.6990      487.5320      302.8850      378.0943      -112.8140
-0.0903      184.7350      600.2910      415.5560      487.0900      302.3550      377.8223      -113.2010
-0.0913      184.8450      600.3090      415.4640      486.6550      301.8100      377.5793      -113.6540
-0.0913      184.9850      600.3280      415.3430      486.2690      301.2840      377.3233      -114.0590
-0.0923      185.0660      600.3000      415.2340      485.7690      300.7030      377.0570      -114.5310
-0.0933      185.1760      600.3830      415.2070      485.2790      300.1030      376.8390      -115.1040
-0.0943      185.2640      600.3550      415.0910      484.8400      299.5760      376.5860      -115.5150
-0.0943      185.3780      600.3090      414.9310      484.3490      298.9710      376.2777      -115.9600
-0.0953      185.4630      600.3190      414.8560      483.9560      298.4930      376.0683      -116.3630
-0.0963      185.5800      600.2910      414.7110      483.4810      297.9010      375.7743      -116.8100
-0.0963      185.7460      600.3190      414.5730      483.0270      297.2810      375.4757      -117.2920
-0.0973      185.8380      600.3190      414.4810      482.6120      296.7740      375.2453      -117.7070
-0.0973      185.9590      600.3280      414.3690      482.1580      296.1990      374.9790      -118.1700
-0.0983      186.0910      600.4190      414.3280      481.8050      295.7140      374.7900      -118.6140
-0.0993      186.1760      600.3830      414.2070      481.4190      295.2430      374.5523      -118.9640
-0.0993      186.3410      600.3000      413.9590      480.8990      294.5580      374.1587      -119.4010
-0.1003      186.3960      600.3550      413.9590      480.4960      294.1000      374.0060      -119.8590
-0.1013      186.5180      600.3650      413.8470      480.1110      293.5930      373.7623      -120.2540
-0.1023      186.6460      600.2820      413.6360      479.6480      293.0020      373.4247      -120.6340
-0.1023      186.7750      600.3280      413.5530      479.2480      292.4730      373.1930      -121.0800
-0.1033      186.9000      600.3190      413.4190      478.8530      291.9530      372.9303      -121.4660
-0.1033      187.0580      600.3460      413.2880      478.5230      291.4650      372.6803      -121.8230
-0.1043      187.2200      600.3740      413.1540      478.0750      290.8550      372.3877      -122.2990
-0.1043      187.3370      600.3550      413.0180      477.7800      290.4430      372.1597      -122.5750
-0.1053      187.4770      600.4010      412.9240      477.3430      289.8660      371.9047      -123.0580
-0.1053      187.5950      600.3560      412.7610      476.9060      289.3110      371.6110      -123.4500
-0.1063      187.6900      600.3550      412.6650      476.5660      288.8760      371.4020      -123.7890
-0.1073      187.8300      600.3190      412.4890      476.1990      288.3690      371.1157      -124.1200
-0.1073      187.9470      600.3090      412.3620      475.7890      287.8420      370.8553      -124.5200
-0.1083      188.0830      600.3090      412.2260      475.3550      287.2720      370.5747      -124.9540
-0.1093      188.1940      600.3560      412.1620      474.9730      286.7790      370.3677      -125.3830
-0.1103      188.3220      600.3460      412.0240      474.6450      286.3230      370.1237      -125.7010
-0.1103      188.4950      600.3640      411.8690      474.3070      285.8120      369.8500      -126.0570
-0.1113      188.6420      600.3830      411.7410      473.9770      285.3350      369.6057      -126.4060
