eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000      200.1360      601.5110      401.3750      601.3410      401.2050      401.3183      -0.1700
0.0000      200.6000      601.4470      400.8470      602.5350      401.9350      401.2097      1.0880
0.0000      201.1250      601.4470      400.3220      603.8520      402.7270      401.1237      2.4050
0.0010      201.7100      601.5670      399.8570      605.2810      403.5710      401.0950      3.7140
0.0010      202.2390      601.4750      399.2360      606.7520      404.5130      400.9950      5.2770
0.0020      202.8230      601.4470      398.6240      608.1780      405.3550      400.8677      6.7310
0.0030      203.4370      601.4010      397.9640      609.5840      406.1470      400.6917      8.1830
0.0030      203.9700      601.4380      397.4680      610.9470      406.9770      400.6377      9.5090
0.0040      204.5620      601.5020      396.9400      612.3120      407.7500      400.5433      10.8100
0.0050      205.0950      601.4750      396.3800      613.6580      408.5630      400.4410      12.1830
0.0050      205.6280      601.4750      395.8470      614.9820      409.3540      400.3493      13.5070
0.0060      206.2010      601.3920      395.1910      616.2680      410.0670      400.1497      14.8760
0.0060      206.7670      601.5110      394.7440      617.5120      410.7450      400.0777      16.0010
0.0070      207.2960      601.4650      394.1690      618.7700      411.4740      399.9373      17.3050
0.0070      207.8440      601.4750      393.6310      620.0200      412.1760      399.8127      18.5450
0.0080      208.4170      601.3820      392.9650      621.3070      412.8900      399.6067      19.9250
0.0080      209.0200      601.5110      392.4910      622.5130      413.4930      399.4917      21.0020
0.0090      209.5790      601.4930      391.9140      623.7210      414.1420      399.3233      22.2280
0.0100      210.1040      601.4740      391.3700      624.9360      414.8320      399.1907      23.4620
0.0100      210.6520      601.4930      390.8410      626.0760      415.4240      399.0353      24.5830
0.0110      211.2180      601.4560      390.2380      627.2040      415.9860      398.8207      25.7480
0.0110      211.7540      601.5110      389.7570      628.2950      416.5410      398.6850      26.7840
0.0120      212.2910      601.4470      389.1560      629.3340      417.0430      398.4517      27.8870
0.0130      212.8420      601.4740      388.6320      630.3950      417.5530      398.2723      28.9210
0.0130      213.4190      601.4740      388.0550      631.4810      418.0620      398.0573      30.0070
0.0140      213.9230      601.3920      387.4690      632.5680      418.6450      397.8610      31.1760
0.0150      214.4850      601.4930      387.0080      633.6110      419.1260      397.7140      32.1180
0.0150      215.0700      601.4840      386.4140      634.6850      419.6150      397.4810      33.2010
0.0160      215.5880      601.4750      385.8870      635.6990      420.1110      397.2950      34.2240
0.0160      216.1460      601.4370      385.2910      636.7530      420.6070      397.0630      35.3160
0.0170      216.7350      601.4470      384.7120      637.7380      421.0030      396.8090      36.2910
0.0180      217.2750      601.5020      384.2270      638.7190      421.4440      396.6327      37.2170
0.0180      217.7860      601.4560      383.6700      639.7130      421.9270      396.4223      38.2570
0.0190      218.3520      601.4650      383.1130      640.6830      422.3310      396.1857      39.2180
0.0190      218.9180      601.4010      382.4830      641.6410      422.7230      395.8963      40.2400
0.0200      219.4910      601.5020      382.0110      642.5960      423.1050      395.7090      41.0940
0.0210      219.9870      601.4740      381.4870      643.5740      423.5870      395.5203      42.1000
0.0220      220.5720      601.3920      380.8200      644.5300      423.9580      395.1993      43.1380
0.0220      221.1410      601.3910      380.2500      645.4830      424.3420      394.9473      44.0920
0.0230      221.6780      601.4650      379.7870      646.4340      424.7560      394.7767      44.9690
0.0230      222.2480      601.4930      379.2450      647.3520      425.1040      394.5313      45.8590
0.0240      222.7660      601.4560      378.6900      648.2920      425.5260      394.3020      46.8360
0.0240      223.3580      601.3740      378.0160      649.2290      425.8710      393.9677      47.8550
0.0250      223.8790      601.4830      377.6040      650.1040      426.2250      393.8110      48.6210
0.0260      224.4450      601.4280      376.9830      650.9680      426.5230      393.4963      49.5400
0.0260      225.0260      601.4370      376.4110      651.8940      426.8680      393.2300      50.4570
0.0270      225.5330      601.4100      375.8770      652.7950      427.2620      393.0053      51.3850
0.0280      226.1140      601.4190      375.3050      653.6660      427.5520      392.7207      52.2470
0.0280      226.6840      601.4650      374.7810      654.5720      427.8880      392.4833      53.1070
0.0290      227.2530      601.4920      374.2390      655.4410      428.1880      392.2220      53.9490
0.0300      227.8010      601.4380      373.6370      656.3050      428.5040      391.9260      54.8670
0.0300      228.3450      601.4470      373.1020      657.1360      428.7910      391.6650      55.6890
0.0310      228.8890      601.4100      372.5210      657.9290      429.0400      391.3607      56.5190
0.0310      229.4070      601.4830      372.0760      658.7700      429.3630      391.1717      57.2870
0.0320      229.9550      601.4380      371.4830      659.6210      429.6660      390.8773      58.1830
0.0320      230.4950      601.4190      370.9240      660.4540      429.9590      390.6023      59.0350
0.0330      231.0540      601.4380      370.3840      661.3110      430.2570      390.3417      59.8730
0.0340      231.6240      601.4840      369.8600      662.1000      430.4760      390.0653      60.6160
0.0340      232.1420      601.5210      369.3790      662.9380      430.7960      389.8513      61.4170
0.0350      232.6780      601.4650      368.7870      663.7830      431.1050      389.5597      62.3180
0.0360      233.2700      601.3820      368.1120      664.6160      431.3460      389.1900      63.2340
0.0360      233.7880      601.4370      367.6490      665.3660      431.5780      388.9587      63.9290
0.0370      234.3360      601.4650      367.1290      666.1630      431.8270      388.6950      64.6980
0.0370      234.8840      601.4840      366.6000      666.9730      432.0890      388.4297      65.4890
0.0380      235.4200      601.4930      366.0730      667.7730      432.3530      388.1663      66.2800
0.0390      235.9600      601.4740      365.5140      668.6160      432.6560      387.8947      67.1420
0.0390      236.5520      601.4650      364.9130      669.4040      432.8520      387.5593      67.9390
0.0400      237.0890      601.4650      364.3760      670.2140      433.1250      387.2923      68.7490
0.0410      237.6360      601.4370      363.8010      670.9930      433.3570      386.9863      69.5560
0.0410      238.1770      601.5300      363.3530      671.7570      433.5800      386.7620      70.2270
0.0420      238.7210      601.4470      362.7260      672.5570      433.8360      386.4293      71.1100
0.0420      239.2760      601.4930      362.2170      673.3090      434.0330      386.1557      71.8160
0.0430      239.7680      601.5020      361.7340      674.0400      434.2720      385.9133      72.5380
0.0440      240.3450      601.5570      361.2120      674.7780      434.4330      385.6190      73.2210
0.0440      240.8930      601.3370      360.4440      675.5750      434.6820      385.1900      74.2380
0.0450      241.4260      601.4750      360.0490      676.3380      434.9120      385.0033      74.8630
0.0460      241.9620      601.4190      359.4570      677.1120      435.1500      384.6880      75.6930
0.0460      242.5250      601.4470      358.9220      677.8840      435.3590      384.4010      76.4370
0.0470      243.0720      601.5290      358.4570      678.5930      435.5210      384.1450      77.0640
0.0470      243.5980      601.4560      357.8580      679.3440      435.7460      383.8207      77.8880
0.0480      244.1230      601.4190      357.2960      680.1400      436.0170      383.5363      78.7210
0.0490      244.6710      601.4190      356.7480      680.8480      436.1770      383.2243      79.4290
0.0490      245.2080      601.4650      356.2570      681.5490      436.3410      382.9517      80.0840
0.0500      245.7740      601.5210      355.7470      682.2790      436.5050      382.6663      80.7580
0.0510      246.2920      601.4280      355.1360      683.0300      436.7380      382.3367      81.6020
0.0520      246.8360      601.5200      354.6840      683.7670      436.9310      382.0997      82.2470
0.0520      247.3910      601.4380      354.0470      684.5420      437.1510      381.7483      83.1040
0.0530      247.9270      601.3820      353.4550      685.2730      437.3460      381.4187      83.8910
0.0540      248.4790      601.4560      352.9770      685.9770      437.4980      381.1507      84.5210
0.0540      249.0190      601.5840      352.5650      686.6650      437.6460      380.9253      85.0810
0.0550      249.5260      601.4190      351.8930      687.4370      437.9110      380.5657      86.0180
0.0560      250.1110      601.4650      351.3540      688.0860      437.9750      380.2277      86.6210
0.0560      250.6140      601.5020      350.8880      688.7770      438.1630      379.9797      87.2750
0.0570      251.1290      601.4380      350.3090      689.4860      438.3570      379.6583      88.0480
0.0580      251.6800      601.4010      349.7210      690.1860      438.5060      379.3160      88.7850
0.0580      252.2020      601.4930      349.2910      690.8760      438.6740      379.0853      89.3830
0.0590      252.7640      601.4920      348.7280      691.5830      438.8190      378.7583      90.0910
0.0600      253.3270      601.5210      348.1940      692.2690      438.9420      378.4433      90.7480
0.0600      253.8190      601.5200      347.7010      692.9840      439.1650      378.1890      91.4640
0.0610      254.3480      601.4370      347.0890      693.6730      439.3250      377.8343      92.2360
0.0620      254.8810      601.4460      346.5650      694.3410      439.4600      377.5300      92.8950
0.0620      255.4030      601.4650      346.0620      694.9820      439.5790      377.2343      93.5170
0.0630      255.9620      601.4100      345.4480      695.6510      439.6890      376.8617      94.2410
0.0630      256.4650      601.4280      344.9630      696.3730      439.9080      376.6113      94.9450
0.0640      257.0090      601.4650      344.4560      697.0310      440.0220      376.3113      95.5660
0.0650      257.5500      601.4380      343.8880      697.7220      440.1720      375.9827      96.2840
0.0650      258.0720      601.4110      343.3390      698.4260      440.3540      375.6773      97.0150
0.0660      258.6270      601.5850      342.9580      699.0760      440.4490      375.4550      97.4910
0.0670      259.1450      601.4840      342.3390      699.7740      440.6290      375.1023      98.2900
0.0670      259.6450      601.4930      341.8480      700.4360      440.7910      374.8290      98.9430
0.0680      260.1960      601.5390      341.3430      701.0690      440.8730      374.5197      99.5300
0.0690      260.6990      601.4100      340.7110      701.6740      440.9750      374.1323      100.2640
0.0690      261.2430      601.4460      340.2030      702.2700      441.0270      373.8110      100.8240
0.0700      261.7210      601.5290      339.8080      702.8730      441.1520      373.5893      101.3440
0.0710      262.2320      601.5390      339.3070      703.4830      441.2510      373.2883      101.9440
0.0710      262.7690      601.4470      338.6780      704.1570      441.3880      372.9147      102.7100
0.0720      263.2830      601.4280      338.1450      704.8530      441.5700      372.6200      103.4250
0.0720      263.7610      601.5020      337.7410      705.4340      441.6730      372.3850      103.9320
0.0730      264.3010      601.4370      337.1360      706.0640      441.7630      372.0117      104.6270
0.0740      264.8230      601.5200      336.6970      706.6410      441.8180      371.7373      105.1210
0.0740      265.2860      601.4280      336.1420      707.2680      441.9820      371.4220      105.8400
0.0750      265.8010      601.4380      335.6370      707.8590      442.0580      371.1107      106.4210
0.0760      266.2970      601.5290      335.2320      708.4410      442.1440      370.8693      106.9120
0.0760      266.7860      601.5020      334.7160      709.0190      442.2330      370.5550      107.5170
0.0770      267.2970      601.4290      334.1320      709.6230      442.3260      370.1967      108.1940
0.0780      267.7670      601.4010      333.6340      710.2180      442.4510      369.9063      108.8170
0.0780      268.2820      601.4380      333.1560      710.8550      442.5730      369.6283      109.4170
0.0790      268.8150      601.3460      332.5310      711.4770      442.6620      369.2413      110.1310
0.0800      269.2700      601.4460      332.1760      712.0160      442.7460      369.0327      110.5700
0.0800      269.7960      601.4280      331.6320      712.6410      442.8450      368.7030      111.2130
0.0810      270.3220      601.4660      331.1440      713.2220      442.9000      368.3960      111.7560
0.0820      270.7920      601.4380      330.6460      713.8210      443.0290      368.1070      112.3830
0.0820      271.2880      601.5290      330.2410      714.3260      443.0380      367.8400      112.7970
0.0830      271.7590      601.5020      329.7430      714.9050      443.1460      367.5440      113.4030
0.0840      272.2510      601.3550      329.1040      715.4990      443.2480      367.1520      114.1440
0.0850      272.7360      601.4920      328.7560      716.0260      443.2900      366.9340      114.5340
0.0850      273.1990      601.3730      328.1740      716.6110      443.4120      366.5867      115.2380
0.0860      273.7320      601.4370      327.7050      717.1780      443.4460      366.2853      115.7410
0.0870      274.1810      601.4750      327.2940      717.7220      443.5410      366.0430      116.2470
0.0870      274.6920      601.4650      326.7730      718.2750      443.5830      365.7097      116.8100
0.0880      275.1730      601.4370      326.2640      718.8400      443.6670      365.3983      117.4030
0.0890      275.6400      601.4650      325.8250      719.3610      443.7210      365.1237      117.8960
0.0890      276.0880      601.4560      325.3680      719.8760      443.7880      364.8413      118.4200
0.0900      276.5920      601.3920      324.8000      720.4110      443.8190      364.4730      119.0190
0.0910      277.0620      601.5110      324.4490      720.9310      443.8690      364.2557      119.4200
0.0920      277.5290      601.4190      323.8900      721.5090      443.9800      363.9200      120.0900
0.0920      278.0000      601.4010      323.4010      722.0530      444.0530      363.6183      120.6520
0.0930      278.4810      601.4100      322.9290      722.6100      444.1290      363.3290      121.2000
0.0940      278.9400      601.4100      322.4700      723.1220      444.1820      363.0407      121.7120
0.0940      279.4040      601.5120      322.1080      723.6490      444.2450      362.8203      122.1370
0.0950      279.9180      601.4740      321.5560      724.1910      444.2730      362.4617      122.7170
0.0960      280.3480      601.4380      321.0900      724.6900      444.3420      362.1740      123.2520
0.0960      280.7970      601.4660      320.6690      725.1670      444.3700      361.9027      123.7010
0.0970      281.2960      601.4650      320.1690      725.6490      444.3530      361.5637      124.1840
0.0970      281.7150      601.4740      319.7590      726.1900      444.4750      361.3310      124.7160
0.0980      282.1710      601.3920      319.2210      726.7290      444.5580      361.0000      125.3370
0.0990      282.6160      601.4650      318.8490      727.2350      444.6190      360.7723      125.7700
0.1000      283.1080      601.5020      318.3940      727.7380      444.6300      360.4727      126.2360
0.1000      283.5790      601.5570      317.9780      728.2010      444.6220      360.1927      126.6440
0.1010      284.0460      601.4200      317.3740      728.7650      444.7190      359.8223      127.3450
0.1020      284.4760      601.4750      316.9990      729.2420      444.7660      359.5880      127.7670
0.1020      284.9390      601.4840      316.5450      729.7410      444.8020      359.2973      128.2570
0.1030      285.3910      601.5110      316.1200      730.2140      444.8230      359.0210      128.7030
0.1030      285.8390      601.4370      315.5980      730.6520      444.8130      358.6697      129.2150
0.1040      286.2770      601.5390      315.2620      731.1450      444.8680      358.4640      129.6060
0.1050      286.6960      601.4290      314.7330      731.6720      444.9760      358.1473      130.2430
0.1050      287.1840      601.4370      314.2530      732.1640      444.9800      357.8287      130.7270
0.1060      287.6250      601.4830      313.8580      732.6240      444.9990      357.5717      131.1410
0.1060      288.0330      601.4280      313.3950      733.0920      445.0590      357.2830      131.6640
0.1070      288.5260      601.4840      312.9580      733.5620      445.0360      356.9840      132.0780
0.1080      288.9380      601.4200      312.4820      734.0490      445.1110      356.6917      132.6290
0.1080      289.3790      601.4560      312.0770      734.5130      445.1340      356.4293      133.0570
0.1090      289.8310      601.5020      311.6710      734.9410      445.1100      356.1507      133.4390
0.1100      290.2390      601.4470      311.2080      735.3960      445.1570      355.8577      133.9490
0.1100      290.7050      601.4460      310.7410      735.8570      445.1520      355.5447      134.4110
0.1110      291.1240      601.4280      310.3040      736.3400      445.2160      355.2747      134.9120
0.1120      291.5540      601.4100      309.8560      736.8380      445.2840      354.9987      135.4280
0.1120      292.0060      601.4000      309.3940      737.3100      445.3040      354.6973      135.9100
0.1130      292.4440      601.4650      309.0210      737.7370      445.2930      354.4450      136.2720
0.1140      292.8630      601.4290      308.5660      738.2210      445.3580      354.1633      136.7920
0.1140      293.3520      601.4380      308.0860      738.6620      445.3100      353.8273      137.2240
0.1150      293.7410      601.3910      307.6500      739.0860      445.3450      353.5483      137.6950
0.1160      294.1710      601.4280      307.2570      739.4820      445.3110      353.2750      138.0540
0.1170      294.6010      601.4370      306.8360      739.9440      445.3430      353.0050      138.5070
0.1170      295.0350      601.4470      306.4120      740.3970      445.3620      352.7287      138.9500
0.1180      295.4690      601.3740      305.9050      740.8640      445.3950      352.4017      139.4900
