eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000      199.8950      399.9330      200.0380      399.9150      200.0200      200.0320      -0.0180
0.0001      199.8610      399.9680      200.1070      399.8320      199.9710      200.0617      -0.1360
0.0008      199.8650      399.9230      200.0580      399.8790      200.0140      200.0433      -0.0440
0.0014      199.8610      399.9500      200.0890      399.8490      199.9880      200.0553      -0.1010
0.0021      199.8840      399.9330      200.0490      399.7670      199.8830      199.9937      -0.1660
0.0028      199.8840      399.9420      200.0580      399.6810      199.7970      199.9710      -0.2610
0.0035      199.8910      399.8680      199.9770      399.8080      199.9170      199.9570      -0.0600
0.0041      200.0010      399.9140      199.9130      400.0790      200.0780      199.9680      0.1650
0.0048      200.1370      399.9590      199.8220      400.4190      200.2820      199.9753      0.4600
0.0055      200.2800      400.0050      199.7250      400.8190      200.5390      199.9963      0.8140
0.0062      200.4270      399.9960      199.5690      401.1520      200.7250      199.9543      1.1560
0.0068      200.6040      399.8950      199.2910      401.6390      201.0350      199.8723      1.7440
0.0075      200.7840      399.8950      199.1110      402.1850      201.4010      199.8743      2.2900
0.0082      201.0600      399.9230      198.8630      402.9750      201.9150      199.8803      3.0520
0.0089      201.3130      399.9590      198.6460      403.7410      202.4280      199.9067      3.7820
0.0096      201.6810      399.8590      198.1780      404.6500      202.9690      199.7750      4.7910
0.0102      202.0120      399.9510      197.9390      405.4920      203.4800      199.7860      5.5410
0.0109      202.3500      399.9780      197.6280      406.3420      203.9920      199.7493      6.3640
0.0116      202.6580      399.8580      197.2000      407.1900      204.5320      199.6440      7.3320
0.0123      202.9750      399.9050      196.9300      407.9590      204.9840      199.6147      8.0540
0.0130      203.3020      399.9420      196.6400      408.6460      205.3440      199.5413      8.7040
0.0136      203.6250      399.8950      196.2700      409.3480      205.7230      199.4210      9.4530
0.0143      203.9300      399.9590      196.0290      410.0810      206.1510      199.4030      10.1220
0.0150      204.2280      399.8860      195.6580      410.7920      206.5640      199.2933      10.9060
0.0157      204.5730      399.8860      195.3130      411.4250      206.8520      199.1593      11.5390
0.0164      204.8890      399.9130      195.0240      412.1070      207.2180      199.0887      12.1940
0.0170      205.1870      399.9410      194.7540      412.7560      207.5690      199.0257      12.8150
0.0177      205.5440      399.9420      194.3980      413.4120      207.8680      198.8880      13.4700
0.0184      205.8710      400.0060      194.1350      414.0080      208.1370      198.8023      14.0020
0.0191      206.1940      399.8860      193.6920      414.6360      208.4420      198.6087      14.7500
0.0197      206.5360      399.9960      193.4600      415.1220      208.5860      198.5020      15.1260
0.0204      206.8560      399.8770      193.0210      415.7200      208.8640      198.3020      15.8430
0.0211      207.1980      399.9510      192.7530      416.3210      209.1230      198.2097      16.3700
0.0218      207.5250      400.0060      192.4810      416.8930      209.3680      198.1100      16.8870
0.0224      207.8220      399.9410      192.1190      417.4490      209.6270      197.9550      17.5080
0.0231      208.1380      399.9130      191.7750      417.9680      209.8300      197.7933      18.0550
0.0238      208.4990      399.9230      191.4240      418.5500      210.0510      197.6330      18.6270
0.0245      208.8180      399.8670      191.0490      419.0810      210.2630      197.4537      19.2140
0.0252      209.1420      399.9410      190.7990      419.5880      210.4460      197.3480      19.6470
0.0258      209.4980      399.9780      190.4800      420.1230      210.6250      197.1950      20.1450
0.0265      209.8590      399.8960      190.0370      420.6280      210.7690      196.9477      20.7320
0.0272      210.1640      399.9690      189.8050      421.0170      210.8530      196.8210      21.0480
0.0279      210.5160      399.9680      189.4520      421.5160      211.0000      196.6347      21.5480
0.0286      210.8550      399.9320      189.0770      422.0580      211.2030      196.4523      22.1260
0.0292      211.1410      399.9690      188.8280      422.5400      211.3990      196.3517      22.5710
0.0299      211.4900      399.9320      188.4420      423.0390      211.5490      196.1443      23.1070
0.0306      211.8470      399.8130      187.9660      423.5090      211.6620      195.8647      23.6960
0.0313      212.2000      399.9050      187.7050      423.9500      211.7500      195.7200      24.0450
0.0319      212.5050      399.9410      187.4360      424.4550      211.9500      195.6073      24.5140
0.0326      212.8430      399.9410      187.0980      424.9470      212.1040      195.4333      25.0060
0.0333      213.1700      399.9600      186.7900      425.3550      212.1850      195.2550      25.3950
0.0340      213.4970      400.0700      186.5730      425.7410      212.2440      195.1300      25.6710
0.0346      213.8240      399.9780      186.1540      426.1680      212.3440      194.8840      26.1900
0.0353      214.1510      399.8770      185.7260      426.6170      212.4660      194.6393      26.7400
0.0360      214.4750      399.9510      185.4760      427.0370      212.5620      194.5047      27.0860
0.0367      214.8240      399.9230      185.0990      427.4540      212.6300      194.2760      27.5310
0.0373      215.1730      399.8770      184.7040      427.9440      212.7710      194.0597      28.0670
0.0380      215.4890      399.9690      184.4800      428.2520      212.7630      193.9077      28.2830
0.0387      215.8240      399.9870      184.1630      428.6790      212.8550      193.7270      28.6920
0.0394      216.1290      399.8590      183.7300      429.1660      213.0370      193.4990      29.3070
0.0400      216.4820      399.8960      183.4140      429.5380      213.0560      193.2947      29.6420
0.0407      216.7830      400.0150      183.2320      429.9140      213.1310      193.1983      29.8990
0.0414      217.1060      400.0510      182.9450      430.2900      213.1840      193.0247      30.2390
0.0421      217.4450      399.9140      182.4690      430.7200      213.2750      192.7377      30.8060
0.0427      217.7530      399.9230      182.1700      431.0610      213.3080      192.5493      31.1380
0.0434      218.0400      399.9140      181.8740      431.4090      213.3690      192.3723      31.4950
0.0441      218.4110      399.8580      181.4470      431.8480      213.4370      192.1103      31.9900
0.0448      218.7460      399.8680      181.1220      432.2180      213.4720      191.9053      32.3500
0.0455      219.0400      399.9690      180.9290      432.5640      213.5240      191.7940      32.5950
0.0461      219.3560      399.9320      180.5760      432.9230      213.5670      191.5730      32.9910
0.0468      219.6900      399.9960      180.3060      433.2380      213.5480      191.3867      33.2420
0.0475      219.9730      399.8770      179.9040      433.6690      213.6960      191.1680      33.7920
0.0482      220.2820      399.9050      179.6230      433.9910      213.7090      190.9850      34.0860
0.0488      220.6240      399.9870      179.3630      434.3630      213.7390      190.8217      34.3760
0.0495      220.8920      399.9410      179.0490      434.7270      213.8350      190.6443      34.7860
0.0502      221.2230      399.8680      178.6450      435.0210      213.7980      190.3627      35.1530
0.0509      221.5540      399.8310      178.2770      435.3500      213.7960      190.1167      35.5190
0.0515      221.8700      399.9690      178.0990      435.6440      213.7740      189.9907      35.6750
0.0522      222.1640      399.9140      177.7500      436.1030      213.9390      189.8130      36.1890
0.0529      222.4910      399.9050      177.4140      436.4650      213.9740      189.6007      36.5600
0.0536      222.8070      399.9960      177.1890      436.6820      213.8750      189.4177      36.6860
0.0542      223.0970      399.9130      176.8160      437.0230      213.9260      189.1860      37.1100
0.0549      223.4130      399.9220      176.5090      437.2700      213.8570      188.9583      37.3480
0.0556      223.7260      399.9320      176.2060      437.7110      213.9850      188.7990      37.7790
0.0563      224.0120      399.9220      175.9100      438.0690      214.0570      188.6257      38.1470
0.0569      224.3320      399.9410      175.6090      438.3520      214.0200      188.4127      38.4110
0.0576      224.6410      399.9140      175.2730      438.6860      214.0450      188.1970      38.7720
0.0583      224.9610      399.9510      174.9900      438.8880      213.9270      187.9690      38.9370
0.0590      225.2620      399.9780      174.7160      439.3010      214.0390      187.8237      39.3230
0.0596      225.5780      399.9230      174.3450      439.6110      214.0330      187.5743      39.6880
0.0603      225.8460      399.9410      174.0950      439.8970      214.0510      187.4137      39.9560
0.0610      226.1700      399.9320      173.7620      440.1650      213.9950      187.1730      40.2330
0.0617      226.4820      399.9320      173.4500      440.4420      213.9600      186.9533      40.5100
0.0623      226.7580      399.9410      173.1830      440.7990      214.0410      186.8023      40.8580
0.0630      227.0560      399.9230      172.8670      441.1340      214.0780      186.6040      41.2110
0.0637      227.3860      399.9220      172.5360      441.3950      214.0090      186.3603      41.4730
0.0644      227.6880      399.9510      172.2630      441.7170      214.0290      186.1850      41.7660
0.0650      227.9710      399.9600      171.9890      442.0060      214.0350      186.0043      42.0460
0.0657      228.3050      399.8310      171.5260      442.3180      214.0130      185.6883      42.4870
0.0664      228.6030      399.9230      171.3200      442.6140      214.0110      185.5503      42.6910
0.0671      228.9120      399.8590      170.9470      442.8450      213.9330      185.2757      42.9860
0.0677      229.1800      399.8950      170.7150      443.1640      213.9840      185.1380      43.2690
0.0684      229.4920      399.9680      170.4760      443.3850      213.8930      184.9483      43.4170
0.0691      229.7680      400.0150      170.2470      443.6600      213.8920      184.7953      43.6450
0.0698      230.0730      399.8860      169.8130      444.0140      213.9410      184.5223      44.1280
0.0705      230.4040      399.9780      169.5740      444.2540      213.8500      184.3327      44.2760
0.0711      230.6580      399.8310      169.1730      444.5870      213.9290      184.0917      44.7560
0.0718      230.9660      399.9690      169.0030      444.8240      213.8580      183.9547      44.8550
0.0725      231.2930      399.9040      168.6110      445.1180      213.8250      183.6823      45.2140
0.0732      231.5760      399.8950      168.3190      445.3550      213.7790      183.4723      45.4600
0.0738      231.8300      399.9140      168.0840      445.5590      213.7290      183.2990      45.6450
0.0745      232.1390      399.9410      167.8020      445.8050      213.6660      183.0900      45.8640
0.0752      232.4360      399.9500      167.5140      446.0780      213.6420      182.8900      46.1280
0.0759      232.7160      399.8860      167.1700      446.3650      213.6490      182.6630      46.4790
0.0766      233.0060      399.9870      166.9810      446.5830      213.5770      182.5130      46.5960
0.0772      233.3110      399.8580      166.5470      446.8720      213.5610      182.2183      47.0140
0.0779      233.5720      399.9040      166.3320      447.1280      213.5560      182.0733      47.2240
0.0786      233.8960      399.9780      166.0820      447.3810      213.4850      181.8830      47.4030
0.0793      234.1530      399.8680      165.7150      447.6650      213.5120      181.6473      47.7970
0.0799      234.4620      399.9230      165.4610      447.9000      213.4380      181.4533      47.9770
0.0806      234.7040      399.8860      165.1820      448.0570      213.3530      181.2390      48.1710
0.0813      235.0060      399.9230      164.9170      448.2360      213.2300      181.0213      48.3130
0.0820      235.2630      399.9510      164.6880      448.5010      213.2380      180.8713      48.5500
0.0826      235.5530      400.0150      164.4620      448.7590      213.2060      180.7100      48.7440
0.0833      235.8180      400.0240      164.2060      449.0110      213.1930      180.5350      48.9870
0.0840      236.1080      399.9410      163.8330      449.2260      213.1180      180.2613      49.2850
0.0847      236.3840      399.9970      163.6130      449.4720      213.0880      180.1047      49.4750
0.0853      236.6700      399.9130      163.2430      449.7140      213.0440      179.8433      49.8010
0.0860      236.9390      399.9230      162.9840      449.9810      213.0420      179.6700      50.0580
0.0867      237.2180      399.9320      162.7140      450.2280      213.0100      179.4793      50.2960
0.0874      237.4750      399.8770      162.4020      450.4470      212.9720      179.2587      50.5700
0.0881      237.7690      399.8860      162.1170      450.5470      212.7780      179.0040      50.6610
0.0887      238.0450      399.8770      161.8320      450.7650      212.7200      178.7947      50.8880
0.0894      238.3170      399.9780      161.6610      451.0510      212.7340      178.6853      51.0730
0.0901      238.5820      399.9230      161.3410      451.3240      212.7420      178.4747      51.4010
0.0908      238.8610      399.9230      161.0620      451.5170      212.6560      178.2600      51.5940
0.0914      239.1510      399.8950      160.7440      451.6570      212.5060      177.9980      51.7620
0.0921      239.3830      399.8950      160.5120      451.9180      212.5350      177.8530      52.0230
0.0928      239.6590      399.8590      160.2000      452.1520      212.4930      177.6310      52.2930
0.0935      239.9420      399.8590      159.9170      452.4360      212.4940      177.4427      52.5770
0.0941      240.1950      399.8950      159.7000      452.5880      212.3930      177.2643      52.6930
0.0948      240.4740      399.9500      159.4760      452.7460      212.2720      177.0747      52.7960
0.0955      240.7210      399.9600      159.2390      452.9450      212.2240      176.9007      52.9850
0.0961      241.0070      399.9410      158.9340      453.1230      212.1160      176.6613      53.1820
0.0968      241.2870      399.9970      158.7100      453.3090      212.0220      176.4807      53.3120
0.0975      241.5290      399.8860      158.3570      453.5510      212.0220      176.2453      53.6650
0.0982      241.8230      399.8770      158.0540      453.7730      211.9500      176.0193      53.8960
0.0988      242.0620      399.9410      157.8790      453.9590      211.8970      175.8850      54.0180
0.0995      242.3010      399.9590      157.6580      454.1280      211.8270      175.7143      54.1690
0.1002      242.5990      399.8860      157.2870      454.3420      211.7430      175.4390      54.4560
0.1009      242.8520      399.9320      157.0800      454.5250      211.6730      175.2777      54.5930
0.1015      243.0950      399.8950      156.8000      454.7320      211.6370      175.0790      54.8370
0.1022      243.3710      399.9140      156.5430      454.9090      211.5380      174.8747      54.9950
0.1029      243.6460      399.9680      156.3220      455.1090      211.4630      174.7023      55.1410
0.1036      243.8820      399.8590      155.9770      455.2990      211.4170      174.4570      55.4400
0.1043      244.1430      399.9140      155.7710      455.4310      211.2880      174.2767      55.5170
0.1049      244.4180      399.8950      155.4770      455.6320      211.2140      174.0560      55.7370
0.1056      244.6860      399.9130      155.2270      455.8270      211.1410      173.8650      55.9140
0.1063      244.9250      399.8490      154.9240      456.0840      211.1590      173.6690      56.2350
0.1070      245.1750      399.9320      154.7570      456.2080      211.0330      173.5157      56.2760
0.1076      245.4470      399.8860      154.4390      456.3950      210.9480      173.2753      56.5090
0.1083      245.6860      399.9410      154.2550      456.5690      210.8830      173.1310      56.6280
0.1090      245.9580      400.0150      154.0570      456.6540      210.6960      172.9367      56.6390
0.1097      246.2150      399.8770      153.6620      456.9830      210.7680      172.6973      57.1060
0.1103      246.4730      399.8770      153.4040      457.1430      210.6700      172.4927      57.2660
0.1110      246.7040      399.8770      153.1730      457.3160      210.6120      172.3193      57.4390
0.1117      246.9980      399.9040      152.9060      457.4520      210.4540      172.0887      57.5480
0.1124      247.2480      399.9780      152.7300      457.6020      210.3540      171.9380      57.6240
0.1130      247.4800      399.9140      152.4340      457.8430      210.3630      171.7437      57.9290
0.1137      247.7480      399.9960      152.2480      458.0160      210.2680      171.5880      58.0200
0.1144      247.9910      399.9420      151.9510      458.1870      210.1960      171.3660      58.2450
0.1151      248.2440      399.8770      151.6330      458.3330      210.0890      171.1183      58.4560
0.1157      248.4900      399.9040      151.4140      458.4270      209.9370      170.9217      58.5230
0.1164      248.7370      399.9780      151.2410      458.6420      209.9050      170.7957      58.6640
0.1171      248.9680      399.9130      150.9450      458.8060      209.8380      170.5760      58.8930
0.1178      249.2290      399.9500      150.7210      458.9820      209.7530      170.3983      59.0320
0.1184      249.4720      399.9510      150.4790      459.1750      209.7030      170.2203      59.2240
0.1191      249.7070      399.8220      150.1150      459.3240      209.6170      169.9490      59.5020
0.1198      249.9940      399.9230      149.9290      459.4770      209.4830      169.7803      59.5540
0.1205      250.2030      399.9590      149.7560      459.6060      209.4030      169.6383      59.6470
0.1212      250.4380      399.8950      149.4570      459.7980      209.3600      169.4247      59.9030
0.1218      250.6990      399.8580      149.1590      459.9400      209.2410      169.1863      60.0820
0.1225      250.9640      399.8950      148.9310      460.0740      209.1100      168.9907      60.1790
0.1232      251.1960      399.9970      148.8010      460.1820      208.9860      168.8627      60.1850
0.1239      251.4120      399.9780      148.5660      460.3600      208.9480      168.6933      60.3820
