eps1          u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000       199.8010      400.5150      200.7140      399.7900      199.9890      200.4723      -0.7250
0.0000       199.6030      400.4700      200.8670      399.3940      199.7910      200.5083      -1.0760
0.0000       199.4190      400.5250      201.1060      398.8470      199.4280      200.5467      -1.6780
0.0000       199.1980      400.4510      201.2530      398.2880      199.0900      200.5320      -2.1630
0.0000       198.9710      400.4980      201.5270      397.6160      198.6450      200.5663      -2.8820
0.0000       198.6620      400.5800      201.9180      396.9600      198.2980      200.7113      -3.6200
0.0000       198.2350      400.4870      202.2520      395.8190      197.5840      200.6960      -4.6680
0.0000       197.8130      400.3780      202.5650      394.7400      196.9270      200.6857      -5.6380
0.0000       197.3460      400.4690      203.1230      393.4870      196.1410      200.7957      -6.9820
-0.0010      196.9090      400.4970      203.5880      392.3050      195.3960      200.8573      -8.1920
-0.0010      196.4350      400.4610      204.0260      391.1000      194.6650      200.9057      -9.3610
-0.0020      196.0410      400.3500      204.3090      389.9560      193.9150      200.8443      -10.3940
-0.0030      195.5930      400.4150      204.8220      388.8620      193.2690      200.9710      -11.5530
-0.0030      195.1920      400.4790      205.2870      387.6540      192.4620      201.0120      -12.8250
-0.0040      194.7840      400.4780      205.6940      386.5760      191.7920      201.0600      -13.9020
-0.0050      194.3950      400.4060      206.0110      385.4970      191.1020      201.0413      -14.9090
-0.0060      193.9900      400.4970      206.5070      384.3540      190.3640      201.1260      -16.1430
-0.0060      193.6190      400.4970      206.8780      383.2230      189.6040      201.1200      -17.2740
-0.0070      193.2300      400.4420      207.2120      382.2010      188.9710      201.1317      -18.2410
-0.0080      192.8880      400.4610      207.5730      381.0910      188.2030      201.1163      -19.3700
-0.0080      192.5750      400.4510      207.8760      380.1150      187.5400      201.0973      -20.3360
-0.0090      192.2700      400.4970      208.2270      379.0490      186.7790      201.0777      -21.4480
-0.0101      191.9650      400.4510      208.4860      378.1170      186.1520      201.0413      -22.3340
-0.0111      191.7230      400.4510      208.7280      377.1620      185.4390      200.9650      -23.2890
-0.0121      191.4290      400.4240      208.9950      376.2180      184.7890      200.9263      -24.2060
-0.0131      191.1490      400.4970      209.3480      375.3350      184.1860      200.9607      -25.1620
-0.0131      190.9210      400.4690      209.5480      374.4530      183.5320      200.8760      -26.0160
-0.0141      190.7050      400.4700      209.7650      373.5220      182.8170      200.7823      -26.9480
-0.0151      190.4400      400.4700      210.0300      372.6150      182.1750      200.7450      -27.8550
-0.0151      190.2160      400.4330      210.2170      371.7490      181.5330      200.6557      -28.6840
-0.0161      190.0060      400.3960      210.3900      370.8750      180.8690      200.5497      -29.5210
-0.0171      189.7820      400.4420      210.6600      370.0160      180.2340      200.5180      -30.4260
-0.0171      189.5910      400.4140      210.8230      369.2370      179.6460      200.4307      -31.1770
-0.0181      189.4400      400.4780      211.0380      368.4570      179.0170      200.3643      -32.0210
-0.0191      189.2530      400.4150      211.1620      367.6850      178.4320      200.2520      -32.7300
-0.0201      189.0690      400.4510      211.3820      366.8890      177.8200      200.1947      -33.5620
-0.0201      188.9000      400.4880      211.5880      366.0890      177.1890      200.1217      -34.3990
-0.0211      188.7050      400.4600      211.7550      365.2920      176.5870      200.0323      -35.1680
-0.0221      188.5470      400.4790      211.9320      364.4920      175.9450      199.9363      -35.9870
-0.0231      188.3560      400.5060      212.1500      363.7340      175.3780      199.8927      -36.7720
-0.0231      188.1830      400.5240      212.3410      362.9700      174.7870      199.8230      -37.5540
-0.0241      188.0690      400.4510      212.3820      362.1850      174.1160      199.6267      -38.2660
-0.0241      187.9080      400.5710      212.6630      361.4130      173.5050      199.6103      -39.1580
-0.0251      187.7420      400.4600      212.7180      360.7210      172.9790      199.4717      -39.7390
-0.0261      187.6280      400.4230      212.7950      360.0280      172.4000      199.3300      -40.3950
-0.0261      187.4850      400.4700      212.9850      359.3060      171.8210      199.2637      -41.1640
-0.0271      187.3890      400.5150      213.1260      358.5960      171.2070      199.1530      -41.9190
-0.0281      187.2240      400.4510      213.2270      357.9390      170.7150      199.0563      -42.5120
-0.0292      187.1250      400.4420      213.3170      357.2520      170.1270      198.9203      -43.1900
-0.0292      186.9700      400.5240      213.5540      356.5070      169.5370      198.8817      -44.0170
-0.0302      186.8340      400.5330      213.6990      355.7910      168.9570      198.7850      -44.7420
-0.0302      186.7020      400.4790      213.7770      355.0920      168.3900      198.6480      -45.3870
-0.0312      186.6210      400.4420      213.8210      354.3930      167.7720      198.4713      -46.0490
-0.0322      186.4960      400.4880      213.9920      353.7010      167.2050      198.3963      -46.7870
-0.0322      186.3970      400.5060      214.1090      353.1270      166.7300      198.3160      -47.3790
-0.0332      186.3240      400.5250      214.2010      352.5060      166.1820      198.1947      -48.0190
-0.0332      186.1880      400.4520      214.2640      351.8610      165.6730      198.0670      -48.5910
-0.0342      186.0920      400.5520      214.4600      351.2040      165.1120      198.0107      -49.3480
-0.0352      185.9960      400.5150      214.5190      350.5510      164.5550      197.8643      -49.9640
-0.0352      185.8860      400.4970      214.6110      349.8590      163.9730      197.7317      -50.6380
-0.0362      185.7980      400.5340      214.7360      349.2660      163.4680      197.6467      -51.2680
-0.0372      185.6800      400.4510      214.7710      348.6610      162.9810      197.5077      -51.7900
-0.0372      185.6070      400.5800      214.9730      348.0010      162.3940      197.4467      -52.5790
-0.0382      185.5330      400.4880      214.9550      347.3940      161.8610      197.2570      -53.0940
-0.0382      185.4450      400.4600      215.0150      346.8510      161.4060      197.1453      -53.6090
-0.0392      185.3860      400.5330      215.1470      346.2780      160.8920      197.0620      -54.2550
-0.0392      185.2910      400.5980      215.3070      345.6660      160.3750      196.9963      -54.9320
-0.0402      185.1840      400.4790      215.2950      345.0970      159.9130      196.8343      -55.3820
-0.0402      185.1360      400.4600      215.3240      344.4760      159.3400      196.6627      -55.9840
-0.0412      185.0190      400.4880      215.4690      343.8710      158.8520      196.5967      -56.6170
-0.0422      184.9530      400.5250      215.5720      343.2640      158.3110      196.4850      -57.2610
-0.0432      184.9200      400.4790      215.5590      342.7730      157.8530      196.3237      -57.7060
-0.0432      184.8240      400.4970      215.6730      342.1910      157.3670      196.2377      -58.3060
-0.0442      184.7620      400.5430      215.7810      341.6040      156.8420      196.1347      -58.9390
-0.0442      184.7210      400.4330      215.7120      341.0900      156.3690      195.9310      -59.3430
-0.0452      184.6510      400.5610      215.9100      340.5600      155.9090      195.9097      -60.0010
-0.0452      184.5850      400.6260      216.0410      339.9690      155.3840      195.8220      -60.6570
-0.0462      184.5120      400.5340      216.0220      339.4700      154.9580      195.6673      -61.0640
-0.0472      184.4450      400.5060      216.0610      338.9220      154.4770      195.5330      -61.5840
-0.0472      184.3870      400.5430      216.1560      338.3550      153.9680      195.4267      -62.1880
-0.0483      184.3280      400.4970      216.1690      337.7960      153.4680      195.2687      -62.7010
-0.0483      184.2910      400.4510      216.1600      337.3130      153.0220      195.1140      -63.1380
-0.0493      184.2030      400.5980      216.3950      336.7540      152.5510      195.1137      -63.8440
-0.0503      184.1700      400.5250      216.3550      336.2900      152.1200      194.9433      -64.2350
-0.0503      184.1330      400.5250      216.3920      335.7760      151.6430      194.8090      -64.7490
-0.0513      184.0670      400.6170      216.5500      335.2820      151.2150      194.7717      -65.3350
-0.0513      184.0520      400.5430      216.4910      334.8120      150.7600      194.5807      -65.7310
-0.0523      184.0340      400.5060      216.4720      334.3480      150.3140      194.4193      -66.1580
-0.0533      183.9710      400.5890      216.6180      333.8270      149.8560      194.3640      -66.7620
-0.0533      183.8870      400.5340      216.6470      333.3390      149.4520      194.2487      -67.1950
-0.0543      183.8650      400.5160      216.6510      332.8250      148.9600      194.0873      -67.6910
-0.0553      183.8170      400.5250      216.7080      332.3190      148.5020      193.9727      -68.2060
-0.0553      183.7770      400.5430      216.7660      331.8330      148.0560      193.8627      -68.7100
-0.0563      183.7470      400.5610      216.8140      331.3470      147.6000      193.7427      -69.2140
-0.0563      183.7070      400.5710      216.8640      330.9030      147.1960      193.6413      -69.6680
-0.0573      183.7070      400.5160      216.8090      330.4850      146.7780      193.4653      -70.0310
-0.0583      183.6480      400.6070      216.9590      330.0090      146.3610      193.4263      -70.5980
-0.0583      183.6330      400.5520      216.9190      329.5520      145.9190      193.2523      -71.0000
-0.0593      183.6070      400.6250      217.0180      329.0470      145.4400      193.1587      -71.5780
-0.0603      183.5560      400.4600      216.9040      328.6130      145.0570      192.9550      -71.8470
-0.0603      183.5380      400.5530      217.0150      328.1590      144.6210      192.8837      -72.3940
-0.0613      183.5080      400.5520      217.0440      327.7050      144.1970      192.7617      -72.8470
-0.0613      183.4830      400.5620      217.0790      327.2610      143.7780      192.6453      -73.3010
-0.0623      183.4860      400.6530      217.1670      326.8090      143.3230      192.5523      -73.8440
-0.0623      183.4600      400.5700      217.1100      326.4650      143.0050      192.4083      -74.1050
-0.0633      183.4830      400.4430      216.9600      326.1140      142.6310      192.1837      -74.3290
-0.0643      183.4490      400.5700      217.1210      325.6860      142.2370      192.1597      -74.8840
-0.0643      183.3980      400.5520      217.1540      325.2510      141.8530      192.0537      -75.3010
-0.0653      183.3940      400.5430      217.1490      324.7730      141.3790      191.8923      -75.7700
-0.0653      183.3800      400.5980      217.2180      324.3990      141.0190      191.8183      -76.1990
-0.0663      183.3240      400.5520      217.2280      324.0180      140.6940      191.7167      -76.5340
-0.0674      183.3610      400.5240      217.1630      323.6340      140.2730      191.5330      -76.8900
-0.0674      183.3350      400.5980      217.2630      323.2300      139.8950      191.4737      -77.3680
-0.0684      183.3240      400.4970      217.1730      322.8390      139.5150      191.2870      -77.6580
-0.0684      183.3240      400.5150      217.1910      322.4680      139.1440      191.1753      -78.0470
-0.0694      183.3280      400.5340      217.2060      322.1070      138.7790      191.0637      -78.4270
-0.0694      183.3210      400.5250      217.2040      321.7340      138.4130      190.9403      -78.7910
-0.0704      183.2910      400.5430      217.2520      321.3220      138.0310      190.8450      -79.2210
-0.0714      183.3100      400.4420      217.1320      320.9750      137.6650      190.6430      -79.4670
-0.0714      183.2770      400.5250      217.2480      320.5010      137.2240      190.5733      -80.0240
-0.0714      183.2440      400.5340      217.2900      320.1710      136.9270      190.5023      -80.3630
-0.0724      183.2840      400.4600      217.1760      319.8420      136.5580      190.3033      -80.6180
-0.0734      183.2580      400.5150      217.2570      319.3910      136.1330      190.2157      -81.1240
-0.0734      183.2880      400.5620      217.2740      319.0570      135.7690      190.1057      -81.5050
-0.0744      183.2800      400.4880      217.2080      318.7320      135.4520      189.9560      -81.7560
-0.0744      183.3060      400.5340      217.2280      318.4370      135.1310      189.8623      -82.0970
-0.0754      183.2770      400.6080      217.3310      318.0860      134.8090      189.8237      -82.5220
-0.0764      183.3170      400.5060      217.1890      317.7240      134.4070      189.5950      -82.7820
-0.0764      183.3210      400.5520      217.2310      317.3610      134.0400      189.5007      -83.1910
-0.0774      183.3020      400.5240      217.2220      317.0370      133.7350      189.3930      -83.4870
-0.0784      183.2770      400.5890      217.3120      316.6770      133.4000      189.3413      -83.9120
-0.0784      183.3060      400.5340      217.2280      316.3240      133.0180      189.1580      -84.2100
-0.0794      183.3020      400.5790      217.2770      315.9600      132.6580      189.0707      -84.6190
-0.0804      183.3390      400.4420      217.1030      315.6740      132.3350      188.8470      -84.7680
-0.0804      183.3390      400.5060      217.1670      315.3720      132.0330      188.7890      -85.1340
-0.0814      183.3580      400.5620      217.2040      315.0310      131.6730      188.6937      -85.5310
-0.0814      183.3800      400.5340      217.1540      314.7440      131.3640      188.5573      -85.7900
-0.0824      183.4020      400.5980      217.1960      314.3840      130.9820      188.4580      -86.2140
-0.0834      183.3940      400.5430      217.1490      314.0550      130.6610      188.3197      -86.4880
-0.0834      183.3720      400.5430      217.1710      313.7690      130.3970      188.2463      -86.7740
-0.0844      183.4050      400.4780      217.0730      313.4890      130.0840      188.0767      -86.9890
-0.0854      183.4090      400.5150      217.1060      313.1770      129.7680      187.9933      -87.3380
-0.0854      183.4130      400.6350      217.2220      312.8280      129.4150      187.9530      -87.8070
-0.0864      183.4490      400.5430      217.0940      312.5490      129.1000      187.7627      -87.9940
-0.0875      183.4790      400.5060      217.0270      312.2820      128.8030      187.6190      -88.2240
-0.0875      183.5010      400.4790      216.9780      311.9800      128.4790      187.4783      -88.4990
-0.0885      183.5270      400.5430      217.0160      311.7020      128.1750      187.4023      -88.8410
-0.0895      183.5010      400.5430      217.0420      311.3720      127.8710      187.3183      -89.1710
-0.0895      183.5450      400.5250      216.9800      311.1160      127.5710      187.1770      -89.4090
-0.0905      183.5410      400.5430      217.0020      310.8180      127.2770      187.0937      -89.7250
-0.0915      183.5490      400.5890      217.0400      310.5190      126.9700      187.0167      -90.0700
-0.0925      183.5820      400.4420      216.8600      310.2700      126.6880      186.8027      -90.1720
-0.0925      183.5710      400.5890      217.0180      309.9040      126.3330      186.7897      -90.6850
-0.0935      183.6190      400.5340      216.9150      309.6540      126.0350      186.6217      -90.8800
-0.0945      183.6740      400.4790      216.8050      309.4250      125.7510      186.4537      -91.0540
-0.0945      183.6770      400.5700      216.8930      309.1660      125.4890      186.4250      -91.4040
-0.0955      183.7070      400.5430      216.8360      308.9330      125.2260      186.2993      -91.6100
-0.0965      183.7360      400.4600      216.7240      308.6730      124.9370      186.1283      -91.7870
-0.0965      183.7580      400.5430      216.7850      308.3130      124.5550      186.0417      -92.2300
-0.0975      183.7660      400.5340      216.7680      308.0690      124.3030      185.9463      -92.4650
-0.0985      183.7910      400.5150      216.7240      307.8420      124.0510      185.8330      -92.6730
-0.0985      183.8500      400.6160      216.7660      307.5580      123.7080      185.7467      -93.0580
-0.0995      183.8460      400.5520      216.7060      307.2800      123.4340      185.6153      -93.2720
-0.1005      183.8830      400.4600      216.5770      307.0380      123.1550      185.4363      -93.4220
-0.1005      183.9090      400.5710      216.6620      306.7840      122.8750      185.3997      -93.7870
-0.1015      183.9460      400.5070      216.5610      306.5530      122.6070      185.2430      -93.9540
-0.1015      183.9640      400.5520      216.5880      306.3360      122.3720      185.1827      -94.2160
-0.1025      184.0040      400.5330      216.5290      306.1030      122.0990      185.0523      -94.4300
-0.1035      184.0120      400.5520      216.5400      305.7960      121.7840      184.9547      -94.7560
-0.1035      184.0630      400.4970      216.4340      305.5710      121.5080      184.7920      -94.9260
-0.1045      184.0670      400.5520      216.4850      305.2870      121.2200      184.7300      -95.2650
-0.1045      184.1040      400.5710      216.4670      305.0590      120.9550      184.6297      -95.5120
-0.1055      184.1180      400.5240      216.4060      304.8420      120.7240      184.5120      -95.6820
-0.1066      184.1990      400.5610      216.3620      304.6010      120.4020      184.3753      -95.9600
-0.1066      184.2250      400.5250      216.3000      304.4240      120.1990      184.2663      -96.1010
-0.1076      184.2210      400.5240      216.3030      304.1720      119.9510      184.1857      -96.3520
-0.1086      184.2950      400.5250      216.2300      304.0040      119.7090      184.0563      -96.5210
