eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0020      199.9930      500.5110      300.5180      500.3700      300.3770      300.4710      -0.1410
0.0027      200.5220      500.5200      299.9980      501.6510      301.1290      300.3750      1.1310
0.0033      201.0000      500.5570      299.5570      502.9050      301.9050      300.3397      2.3480
0.0040      201.5220      500.5380      299.0160      504.1130      302.5910      300.2077      3.5750
0.0047      202.0370      500.5300      298.4930      505.3590      303.3220      300.1027      4.8290
0.0053      202.5590      500.4930      297.9340      506.5270      303.9680      299.9453      6.0340
0.0060      203.0800      500.5750      297.4950      507.7170      304.6370      299.8757      7.1420
0.0067      203.5580      500.5010      296.9430      508.8460      305.2880      299.7247      8.3450
0.0073      204.0400      500.5290      296.4890      509.9220      305.8820      299.6200      9.3930
0.0080      204.5400      500.4840      295.9440      510.9860      306.4460      299.4447      10.5020
0.0087      205.0210      500.5470      295.5260      511.9500      306.9290      299.3270      11.4030
0.0093      205.5210      500.5020      294.9810      512.9480      307.4270      299.1297      12.4460
0.0100      206.0100      500.4930      294.4830      513.9300      307.9200      298.9620      13.4370
0.0107      206.5240      500.5010      293.9770      514.8660      308.3420      298.7653      14.3650
0.0113      207.0170      500.5480      293.5310      515.8200      308.8030      298.6217      15.2720
0.0120      207.5350      500.5110      292.9760      516.7720      309.2370      298.3963      16.2610
0.0127      208.0500      500.5110      292.4610      517.6820      309.6320      298.1847      17.1710
0.0133      208.5090      500.5840      292.0750      518.5250      310.0160      298.0553      17.9410
0.0140      209.0310      500.5940      291.5630      519.4000      310.3690      297.8317      18.8060
0.0147      209.5230      500.4650      290.9420      520.2890      310.7660      297.5500      19.8240
0.0153      210.0380      500.5290      290.4910      521.0700      311.0320      297.3380      20.5410
0.0160      210.5380      500.5750      290.0370      521.8400      311.3020      297.1253      21.2650
0.0166      211.0080      500.5200      289.5120      522.6780      311.6700      296.8980      22.1580
0.0173      211.5410      500.4650      288.9240      523.4610      311.9200      296.5893      22.9960
0.0180      212.0260      500.5290      288.5030      524.3040      312.2780      296.4280      23.7750
0.0186      212.5340      500.5200      287.9860      525.0880      312.5540      296.1753      24.5680
0.0193      213.0440      500.5010      287.4570      525.8840      312.8400      295.9180      25.3830
0.0200      213.5660      500.5380      286.9720      526.6350      313.0690      295.6710      26.0970
0.0207      214.0880      500.4740      286.3860      527.3950      313.3070      295.3597      26.9210
0.0213      214.5700      500.5750      286.0050      528.1370      313.5670      295.1923      27.5620
0.0220      215.0770      500.5290      285.4520      528.8960      313.8190      294.9077      28.3670
0.0227      215.5550      500.5480      284.9930      529.5370      313.9820      294.6560      28.9890
0.0233      216.0690      500.4280      284.3590      530.3020      314.2330      294.3170      29.8740
0.0240      216.5510      500.5750      284.0240      530.9790      314.4280      294.1587      30.4040
0.0247      217.0580      500.4740      283.4160      531.7330      314.6750      293.8357      31.2590
0.0253      217.5430      500.5020      282.9590      532.4490      314.9060      293.6080      31.9470
0.0260      218.0720      500.4740      282.4020      533.1810      315.1090      293.3043      32.7070
0.0266      218.5580      500.5940      282.0360      533.8430      315.2850      293.1190      33.2490
0.0273      219.0500      500.5290      281.4790      534.5400      315.4900      292.8160      34.0110
0.0280      219.5720      500.5200      280.9480      535.2530      315.6810      292.5257      34.7330
0.0286      220.0460      500.5570      280.5110      535.9150      315.8690      292.2970      35.3580
0.0293      220.5720      500.6030      280.0310      536.5790      316.0070      292.0230      35.9760
0.0300      221.0490      500.4460      279.3970      537.2020      316.1530      291.6490      36.7560
0.0306      221.5460      500.5480      279.0020      537.8760      316.3300      291.4447      37.3280
0.0313      222.0270      500.5840      278.5570      538.5670      316.5400      291.2180      37.9830
0.0320      222.5490      500.4830      277.9340      539.2400      316.6910      290.8530      38.7570
0.0326      223.0930      500.5200      277.4270      539.9210      316.8280      290.5607      39.4010
0.0333      223.5490      500.6400      277.0910      540.5160      316.9670      290.3830      39.8760
0.0340      224.0670      500.4830      276.4160      541.2020      317.1350      289.9890      40.7190
0.0346      224.5450      500.4740      275.9290      541.8930      317.3480      289.7353      41.4190
0.0353      225.0890      500.4560      275.3670      542.5170      317.4280      289.3873      42.0610
0.0360      225.5370      500.4830      274.9460      543.1370      317.6000      289.1640      42.6540
0.0366      226.0300      500.5570      274.5270      543.7290      317.6990      288.9177      43.1720
0.0373      226.5370      500.4470      273.9100      544.3710      317.8340      288.5513      43.9240
0.0380      227.0510      500.5110      273.4600      544.9960      317.9450      288.2883      44.4850
0.0386      227.5480      500.5570      273.0090      545.6060      318.0580      288.0253      45.0490
0.0393      228.0250      500.5470      272.5220      546.2520      318.2270      287.7570      45.7050
0.0400      228.5140      500.5570      272.0430      546.8000      318.2860      287.4573      46.2430
0.0406      229.0030      500.4920      271.4890      547.4390      318.4360      287.1380      46.9470
0.0413      229.4880      500.5200      271.0320      548.0410      318.5530      286.8723      47.5210
0.0420      230.0030      500.5200      270.5170      548.6270      318.6240      286.5527      48.1070
0.0426      230.4440      500.5020      270.0580      549.1850      318.7410      286.2857      48.6830
0.0433      230.9620      500.4930      269.5310      549.7260      318.7640      285.9420      49.2330
0.0440      231.3880      500.5570      269.1690      550.2750      318.8870      285.7417      49.7180
0.0446      231.8400      500.4920      268.6520      550.8650      319.0250      285.4430      50.3730
0.0453      232.3480      500.5390      268.1910      551.3870      319.0390      285.1403      50.8480
0.0459      232.7960      500.5380      267.7420      551.9510      319.1550      284.8797      51.4130
0.0466      233.3030      500.5020      267.1990      552.4760      319.1730      284.5237      51.9740
0.0473      233.7440      500.5380      266.7940      553.0390      319.2950      284.2943      52.5010
0.0479      234.2040      500.5390      266.3350      553.5930      319.3890      284.0197      53.0540
0.0486      234.6670      500.5940      265.9270      554.0970      319.4300      283.7613      53.5030
0.0493      235.1260      500.5470      265.4210      554.6050      319.4790      283.4403      54.0580
0.0499      235.5930      500.5390      264.9460      555.0990      319.5060      283.1327      54.5600
0.0506      236.0490      500.5940      264.5450      555.6690      319.6200      282.9033      55.0750
0.0513      236.4860      500.5570      264.0710      556.2160      319.7300      282.6240      55.6590
0.0519      236.9680      500.5210      263.5530      556.7310      319.7630      282.2897      56.2100
0.0526      237.4230      500.5010      263.0780      557.2290      319.8060      281.9873      56.7280
0.0533      237.8750      500.5930      262.7180      557.7790      319.9040      281.7800      57.1860
0.0539      238.3420      500.5200      262.1780      558.3610      320.0190      281.4583      57.8410
0.0546      238.8350      500.5200      261.6850      558.8960      320.0610      281.1437      58.3760
0.0553      239.2870      500.5390      261.2520      559.3830      320.0960      280.8667      58.8440
0.0559      239.7460      500.5290      260.7830      559.8830      320.1370      280.5677      59.3540
0.0566      240.2350      500.4930      260.2580      560.4340      320.1990      280.2383      59.9410
0.0572      240.6720      500.5110      259.8390      560.9640      320.2920      279.9900      60.4530
0.0579      241.1170      500.5570      259.4400      561.4920      320.3750      279.7517      60.9350
0.0586      241.6170      500.4560      258.8390      562.0300      320.4130      279.3637      61.5740
0.0592      242.0540      500.4920      258.4380      562.5080      320.4540      279.1100      62.0160
0.0599      242.5170      500.5200      258.0030      562.9330      320.4160      278.8073      62.4130
0.0606      243.0060      500.4830      257.4770      563.5250      320.5190      278.4910      63.0420
0.0612      243.4510      500.6030      257.1520      563.9950      320.5440      278.2827      63.3920
0.0619      243.8880      500.5470      256.6590      564.4730      320.5850      277.9677      63.9260
0.0625      244.3480      500.4560      256.1080      564.9790      320.6310      277.6157      64.5230
0.0632      244.7590      500.4920      255.7330      565.3840      320.6250      277.3637      64.8920
0.0639      245.2190      500.5290      255.3100      565.8960      320.6770      277.0990      65.3670
0.0645      245.6860      500.4840      254.7980      566.4160      320.7300      276.7753      65.9320
0.0652      246.1450      500.5940      254.4490      566.8950      320.7500      276.5493      66.3010
0.0659      246.6010      500.5300      253.9290      567.3940      320.7930      276.2170      66.8640
0.0665      247.0560      500.4460      253.3900      567.8820      320.8260      275.8687      67.4360
0.0672      247.5380      500.4650      252.9270      568.3540      320.8160      275.5567      67.8890
0.0679      247.9640      500.5290      252.5650      568.8440      320.8800      275.3367      68.3150
0.0685      248.4020      500.5300      252.1280      569.2730      320.8710      275.0423      68.7430
0.0692      248.8430      500.4930      251.6500      569.7070      320.8640      274.7213      69.2140
0.0699      249.2840      500.4930      251.2090      570.1500      320.8660      274.4280      69.6570
0.0705      249.7470      500.5480      250.8010      570.5940      320.8470      274.1497      70.0460
0.0712      250.1510      500.4920      250.3410      571.0980      320.9470      273.8763      70.6060
0.0719      250.6030      500.4370      249.8340      571.5690      320.9660      273.5447      71.1320
0.0725      251.0260      500.4830      249.4570      572.0050      320.9790      273.2977      71.5220
0.0732      251.4780      500.5290      249.0510      572.4230      320.9450      273.0157      71.8940
0.0738      251.9120      500.5760      248.6640      572.8220      320.9100      272.7460      72.2460
0.0745      252.3230      500.5470      248.2240      573.2530      320.9300      272.4593      72.7060
0.0752      252.7460      500.4930      247.7470      573.6400      320.8940      272.1293      73.1470
0.0758      253.1800      500.5300      247.3500      574.0740      320.8940      271.8647      73.5440
0.0765      253.5730      500.5200      246.9470      574.4830      320.9100      271.6013      73.9630
0.0772      254.0140      500.5290      246.5150      574.9460      320.9320      271.3207      74.4170
0.0778      254.4550      500.5660      246.1110      575.3620      320.9070      271.0430      74.7960
0.0785      254.8740      500.5110      245.6370      575.8180      320.9440      270.7393      75.3070
0.0791      255.3000      500.5290      245.2290      576.2310      320.9310      270.4630      75.7020
0.0798      255.7300      500.5560      244.8260      576.6310      320.9010      270.1843      76.0750
0.0805      256.1640      500.4560      244.2920      577.1240      320.9600      269.8480      76.6680
0.0811      256.5720      500.5480      243.9760      577.5190      320.9470      269.6330      76.9710
0.0818      256.9800      500.5380      243.5580      577.8620      320.8820      269.3327      77.3240
0.0825      257.3880      500.4930      243.1050      578.2460      320.8580      269.0227      77.7530
0.0831      257.8030      500.4650      242.6620      578.6770      320.8740      268.7327      78.2120
0.0838      258.2440      500.5010      242.2570      579.0900      320.8460      268.4533      78.5890
0.0845      258.6380      500.4930      241.8550      579.5210      320.8830      268.1977      79.0280
0.0851      259.0460      500.5570      241.5110      579.8940      320.8480      267.9567      79.3370
0.0858      259.4790      500.4190      240.9400      580.3360      320.8570      267.5790      79.9170
0.0864      259.8650      500.5290      240.6640      580.6680      320.8030      267.3770      80.1390
0.0871      260.2730      500.4560      240.1830      581.1140      320.8410      267.0690      80.6580
0.0878      260.7250      500.5110      239.7860      581.4710      320.7460      266.7727      80.9600
0.0884      261.1070      500.5290      239.4220      581.8730      320.7660      266.5367      81.3440
0.0891      261.4860      500.4470      238.9610      582.2590      320.7730      266.2317      81.8120
0.0898      261.9050      500.5290      238.6240      582.4950      320.5900      265.9460      81.9660
0.0904      262.3090      500.4920      238.1830      582.9470      320.6380      265.6680      82.4550
0.0911      262.6920      500.4840      237.7920      583.3340      320.6420      265.4087      82.8500
0.0917      263.0880      500.5650      237.4770      583.6940      320.6060      265.1867      83.1290
0.0924      263.5000      500.6120      237.1120      584.0750      320.5750      264.9330      83.4630
0.0931      263.9300      500.4280      236.4980      584.4550      320.5250      264.5070      84.0270
0.0937      264.3160      500.5380      236.2220      584.8500      320.5340      264.3260      84.3120
0.0944      264.6870      500.4550      235.7680      585.2140      320.5270      264.0210      84.7590
0.0951      265.1100      500.5390      235.4290      585.5420      320.4320      263.7633      85.0030
0.0957      265.4630      500.4650      235.0020      585.9000      320.4370      263.4803      85.4350
0.0964      265.8630      500.5010      234.6380      586.2310      320.3680      263.2147      85.7300
0.0970      266.2350      500.5110      234.2760      586.6180      320.3830      262.9783      86.1070
0.0977      266.6390      500.5940      233.9550      586.9340      320.2950      262.7350      86.3400
0.0984      267.0060      500.5470      233.5410      587.2920      320.2860      262.4560      86.7450
0.0990      267.4330      500.4560      233.0230      587.6730      320.2400      262.0953      87.2170
0.0997      267.8440      500.4190      232.5750      588.0150      320.1710      261.7737      87.5960
0.1004      268.1970      500.5290      232.3320      588.3320      320.1350      261.5997      87.8030
0.1010      268.5390      500.4740      231.9350      588.6710      320.1320      261.3340      88.1970
0.1017      268.9540      500.5010      231.5470      589.0200      320.0660      261.0533      88.5190
0.1024      269.3260      500.4840      231.1580      589.3430      320.0170      260.7777      88.8590
0.1030      269.7000      500.4740      230.7740      589.6400      319.9400      260.4960      89.1660
0.1037      270.0280      500.5110      230.4830      589.9910      319.9630      260.3097      89.4800
0.1044      270.4470      500.5210      230.0740      590.3070      319.8600      260.0027      89.7860
0.1050      270.7990      500.5100      229.7110      590.6050      319.8060      259.7427      90.0950
0.1057      271.1780      500.4930      229.3150      590.9790      319.8010      259.4770      90.4860
0.1064      271.5380      500.4650      228.9270      591.2780      319.7400      259.1980      90.8130
0.1070      271.9350      500.5200      228.5850      591.6350      319.7000      258.9567      91.1150
0.1077      272.2660      500.5110      228.2450      591.9260      319.6600      258.7167      91.4150
0.1083      272.6590      500.4920      227.8330      592.2270      319.5680      258.4113      91.7350
0.1090      273.0080      500.5010      227.4930      592.5170      319.5090      258.1650      92.0160
0.1097      273.3570      500.5100      227.1530      592.8070      319.4500      257.9187      92.2970
0.1103      273.7030      500.4830      226.7800      593.1620      319.4590      257.6730      92.6790
0.1110      274.0630      500.5290      226.4660      593.4800      319.4170      257.4497      92.9510
0.1117      274.4340      500.4920      226.0580      593.8250      319.3910      257.1690      93.3330
0.1123      274.7950      500.4840      225.6890      594.1090      319.3140      256.8973      93.6250
0.1130      275.1840      500.5010      225.3170      594.4040      319.2200      256.6180      93.9030
0.1137      275.5440      500.4830      224.9390      594.7450      319.2010      256.3597      94.2620
0.1143      275.8940      500.5200      224.6260      595.0190      319.1250      256.1257      94.4990
0.1150      276.2170      500.5290      224.3120      595.3010      319.0840      255.9027      94.7720
0.1157      276.5850      500.5480      223.9630      595.5500      318.9650      255.6303      95.0020
0.1163      276.9300      500.4830      223.5530      595.8530      318.9230      255.3430      95.3700
0.1170      277.2640      500.4460      223.1820      596.1690      318.9050      255.0897      95.7230
0.1177      277.6140      500.4840      222.8700      596.4390      318.8250      254.8550      95.9550
0.1183      277.9780      500.5020      222.5240      596.7570      318.7790      254.6090      96.2550
0.1190      278.3300      500.5290      222.1990      597.0640      318.7340      254.3773      96.5350
0.1196      278.6830      500.4740      221.7910      597.3690      318.6860      254.0893      96.8950
0.1203      279.0470      500.4650      221.4180      597.6200      318.5730      253.8030      97.1550
0.1210      279.3340      500.4470      221.1130      597.9210      318.5870      253.6043      97.4740
0.1216      279.6790      500.5110      220.8320      598.2020      318.5230      253.3957      97.6910
0.1223      280.0540      500.5840      220.5300      598.4660      318.4120      253.1573      97.8820
0.1230      280.3630      500.5110      220.1480      598.7390      318.3760      252.8907      98.2280
0.1236      280.6790      500.5290      219.8500      598.9870      318.3080      252.6693      98.4580
0.1243      281.0650      500.4380      219.3730      599.2760      318.2110      252.3190      98.8380
0.1250      281.3920      500.4930      219.1010      599.6210      318.2290      252.1437      99.1280
