eps1          u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000       199.1720      499.8570      300.6850      500.5560      301.3840      300.9180      0.6990
0.0000       199.2270      499.8020      300.5750      500.7450      301.5180      300.8893      0.9430
0.0000       199.3120      499.8110      300.4990      500.9310      301.6190      300.8723      1.1200
0.0000       199.2350      499.7560      300.5210      500.7190      301.4840      300.8420      0.9630
0.0000       199.0880      499.7200      300.6320      500.3200      301.2320      300.8320      0.6000
0.0000       198.8450      499.8290      300.9840      499.6980      300.8530      300.9403      -0.1310
0.0000       198.5950      499.8570      301.2620      499.0400      300.4450      300.9897      -0.8170
-0.0010      198.3230      499.8200      301.4970      498.3020      299.9790      300.9910      -1.5180
-0.0010      198.0260      499.7660      301.7400      497.4930      299.4670      300.9823      -2.2730
-0.0010      197.7320      499.8300      302.0980      496.5930      298.8610      301.0190      -3.2370
-0.0020      197.3130      499.8120      302.4990      495.5270      298.2140      301.0707      -4.2850
-0.0030      196.8680      499.8300      302.9620      494.4200      297.5520      301.1587      -5.4100
-0.0040      196.4450      499.8940      303.4490      493.2170      296.7720      301.2233      -6.6770
-0.0050      196.0410      499.8110      303.7700      492.1110      296.0700      301.2033      -7.7000
-0.0050      195.6110      499.8850      304.2740      490.9530      295.3420      301.2967      -8.9320
-0.0060      195.1440      499.8110      304.6670      489.7040      294.5600      301.2980      -10.1070
-0.0070      194.7210      499.7560      305.0350      488.5090      293.7880      301.2860      -11.2470
-0.0080      194.2910      499.8290      305.5380      487.3000      293.0090      301.3617      -12.5290
-0.0080      193.8720      499.8470      305.9750      486.0930      292.2210      301.3903      -13.7540
-0.0090      193.4980      499.8390      306.3410      485.0150      291.5170      301.3997      -14.8240
-0.0100      193.0900      499.7840      306.6940      483.9060      290.8160      301.4013      -15.8780
-0.0110      192.7110      499.8850      307.1740      482.8100      290.0990      301.4823      -17.0750
-0.0120      192.3730      499.7470      307.3740      481.7770      289.4040      301.3840      -17.9700
-0.0130      191.9940      499.8480      307.8540      480.6440      288.6500      301.4527      -19.2040
-0.0130      191.6670      499.8940      308.2270      479.5900      287.9230      301.4590      -20.3040
-0.0140      191.3290      499.7930      308.4640      478.5520      287.2230      301.3837      -21.2410
-0.0150      191.0420      499.8200      308.7780      477.5190      286.4770      301.3443      -22.3010
-0.0160      190.7850      499.8110      309.0260      476.5660      285.7810      301.2777      -23.2450
-0.0171      190.4650      499.7470      309.2820      475.5810      285.1160      301.2267      -24.1660
-0.0171      190.2630      499.7930      309.5300      474.6810      284.4180      301.1593      -25.1120
-0.0181      190.0430      499.8480      309.8050      473.7760      283.7330      301.1143      -26.0720
-0.0191      189.8190      499.8760      310.0570      472.8770      283.0580      301.0573      -26.9990
-0.0201      189.5690      499.8390      310.2700      471.9980      282.4290      300.9897      -27.8410
-0.0211      189.4000      499.8480      310.4480      471.1020      281.7020      300.8660      -28.7460
-0.0221      189.2230      499.8390      310.6160      470.2710      281.0480      300.7600      -29.5680
-0.0221      189.0430      499.7650      310.7220      469.4430      280.4000      300.6147      -30.3220
-0.0231      188.8670      499.8480      310.9810      468.5930      279.7260      300.5627      -31.2550
-0.0241      188.7380      499.7930      311.0550      467.8120      279.0740      300.3947      -31.9810
-0.0251      188.6200      499.8480      311.2280      466.9850      278.3650      300.2737      -32.8630
-0.0251      188.4510      499.7830      311.3320      466.2280      277.7770      300.1470      -33.5550
-0.0261      188.3630      499.8570      311.4940      465.5130      277.1500      300.0460      -34.3440
-0.0271      188.2680      499.8480      311.5800      464.7510      276.4830      299.8810      -35.0970
-0.0271      188.1650      499.8480      311.6830      463.9610      275.7960      299.7207      -35.8870
-0.0281      188.0620      499.7930      311.7310      463.1980      275.1360      299.5327      -36.5950
-0.0291      187.9620      499.7650      311.8030      462.4970      274.5350      299.3803      -37.2680
-0.0291      187.8600      499.8580      311.9980      461.7640      273.9040      299.3000      -38.0940
-0.0301      187.8230      499.8300      312.0070      461.0060      273.1830      299.0657      -38.8240
-0.0311      187.7420      499.8480      312.1060      460.2730      272.5310      298.9143      -39.5750
-0.0311      187.6940      499.7650      312.0710      459.6100      271.9160      298.6860      -40.1550
-0.0321      187.6430      499.8570      312.2140      458.9300      271.2870      298.5717      -40.9270
-0.0321      187.6240      499.8200      312.1960      458.3070      270.6830      298.3583      -41.5130
-0.0331      187.5650      499.7560      312.1910      457.6820      270.1170      298.1663      -42.0740
-0.0341      187.5540      499.7280      312.1740      456.9850      269.4310      297.9263      -42.7430
-0.0351      187.5290      499.7470      312.2180      456.3370      268.8080      297.7480      -43.4100
-0.0351      187.4880      499.7650      312.2770      455.7160      268.2280      297.5940      -44.0490
-0.0361      187.4440      499.8020      312.3580      455.1200      267.6760      297.4640      -44.6820
-0.0371      187.4590      499.8660      312.4070      454.4140      266.9550      297.2563      -45.4520
-0.0371      187.4190      499.8390      312.4200      453.7280      266.3090      297.0497      -46.1110
-0.0381      187.4370      499.8660      312.4290      453.1090      265.6720      296.8433      -46.7570
-0.0381      187.4300      499.8030      312.3730      452.5640      265.1340      296.6267      -47.2390
-0.0391      187.4330      499.8660      312.4330      451.9840      264.5510      296.4723      -47.8820
-0.0401      187.4740      499.8120      312.3380      451.4190      263.9450      296.2070      -48.3930
-0.0401      187.4810      499.8020      312.3210      450.8190      263.3380      295.9933      -48.9830
-0.0401      187.4960      499.7660      312.2700      450.2140      262.7180      295.7527      -49.5520
-0.0411      187.4630      499.8120      312.3490      449.6020      262.1390      295.6123      -50.2100
-0.0421      187.4590      499.8200      312.3610      448.9970      261.5380      295.4200      -50.8230
-0.0431      187.4810      499.8480      312.3670      448.4570      260.9760      295.2367      -51.3910
-0.0431      187.5180      499.8850      312.3670      447.8190      260.3010      295.0117      -52.0660
-0.0441      187.5580      499.7650      312.2070      447.3280      259.7700      294.7280      -52.4370
-0.0441      187.5880      499.8020      312.2140      446.7300      259.1420      294.5233      -53.0720
-0.0451      187.6210      499.7930      312.1720      446.2050      258.5840      294.3093      -53.5880
-0.0461      187.6570      499.8020      312.1450      445.7190      258.0620      294.1173      -54.0830
-0.0461      187.7240      499.8390      312.1150      445.1820      257.4580      293.8960      -54.6570
-0.0471      187.7310      499.8200      312.0890      444.6410      256.9100      293.6960      -55.1790
-0.0471      187.7900      499.7750      311.9850      444.0810      256.2910      293.4203      -55.6940
-0.0481      187.8410      499.8200      311.9790      443.5730      255.7320      293.2300      -56.2470
-0.0481      187.8740      499.8940      312.0200      443.0490      255.1750      293.0717      -56.8450
-0.0491      187.9440      499.7560      311.8120      442.5450      254.6010      292.7417      -57.2110
-0.0502      187.9960      499.8850      311.8890      442.0200      254.0240      292.6007      -57.8650
-0.0502      188.0470      499.7740      311.7270      441.5890      253.5420      292.3320      -58.1850
-0.0512      188.1020      499.7930      311.6910      441.0800      252.9780      292.1200      -58.7130
-0.0522      188.1980      499.9030      311.7050      440.5580      252.3600      291.9233      -59.3450
-0.0522      188.2380      499.8390      311.6010      440.0920      251.8540      291.6853      -59.7470
-0.0532      188.2930      499.7830      311.4900      439.5880      251.2950      291.4250      -60.1950
-0.0542      188.3340      499.8570      311.5230      439.1640      250.8300      291.2920      -60.6930
-0.0542      188.4260      499.8300      311.4040      438.6480      250.2220      291.0100      -61.1820
-0.0552      188.4950      499.7830      311.2880      438.1270      249.6320      290.7360      -61.6560
-0.0552      188.5620      499.8760      311.3140      437.5780      249.0160      290.5480      -62.2980
-0.0562      188.5980      499.7920      311.1940      437.1940      248.5960      290.3280      -62.5980
-0.0572      188.7050      499.7930      311.0880      436.7760      248.0710      290.0823      -63.0170
-0.0572      188.8150      499.7840      310.9690      436.3020      247.4870      289.8083      -63.4820
-0.0582      188.8670      499.8300      310.9630      435.7730      246.9060      289.6107      -64.0570
-0.0582      188.9470      499.7920      310.8450      435.3110      246.3640      289.3513      -64.4810
-0.0592      189.0250      499.7660      310.7410      434.8700      245.8450      289.1090      -64.8960
-0.0602      189.1280      499.8480      310.7200      434.4120      245.2840      288.9080      -65.4360
-0.0602      189.2010      499.8110      310.6100      433.9330      244.7320      288.6507      -65.8780
-0.0612      189.2670      499.7740      310.5070      433.4500      244.1830      288.3990      -66.3240
-0.0622      189.3630      499.8110      310.4480      432.9480      243.5850      288.1603      -66.8630
-0.0622      189.4550      499.7930      310.3380      432.5440      243.0890      287.9217      -67.2490
-0.0632      189.5870      499.7840      310.1970      432.1700      242.5830      287.6590      -67.6140
-0.0632      189.6940      499.8390      310.1450      431.7630      242.0690      287.4530      -68.0760
-0.0642      189.7600      499.8020      310.0420      431.3120      241.5520      287.2120      -68.4900
-0.0642      189.8630      499.8020      309.9390      430.8390      240.9760      286.9513      -68.9630
-0.0652      189.9770      499.7840      309.8070      430.4210      240.4440      286.6860      -69.3630
-0.0662      190.0830      499.7840      309.7010      430.0020      239.9190      286.4403      -69.7820
-0.0662      190.1640      499.8110      309.6470      429.5590      239.3950      286.2297      -70.2520
-0.0672      190.2490      499.8020      309.5530      429.1210      238.8720      285.9927      -70.6810
-0.0682      190.3620      499.8110      309.4490      428.7000      238.3380      285.7453      -71.1110
-0.0682      190.4650      499.7740      309.3090      428.2610      237.7960      285.4713      -71.5130
-0.0692      190.6090      499.7750      309.1660      427.8640      237.2550      285.1957      -71.9110
-0.0702      190.7040      499.8200      309.1160      427.4630      236.7590      284.9970      -72.3570
-0.0702      190.8400      499.8290      308.9890      427.1010      236.2610      284.7463      -72.7280
-0.0712      190.9620      499.7930      308.8310      426.7230      235.7610      284.4743      -73.0700
-0.0722      191.0570      499.8290      308.7720      426.2960      235.2390      284.2610      -73.5330
-0.0722      191.1490      499.7650      308.6160      425.9240      234.7750      284.0023      -73.8410
-0.0732      191.3030      499.7190      308.4160      425.5540      234.2510      283.6943      -74.1650
-0.0732      191.4280      499.8750      308.4470      425.1340      233.7060      283.5333      -74.7410
-0.0742      191.5310      499.7830      308.2520      424.7360      233.2050      283.2363      -75.0470
-0.0752      191.6490      499.8480      308.1990      424.3320      232.6830      283.0270      -75.5160
-0.0762      191.7700      499.8480      308.0780      423.9490      232.1790      282.7783      -75.8990
-0.0762      191.9060      499.8480      307.9420      423.5850      231.6790      282.5210      -76.2630
-0.0772      192.0380      499.7560      307.7180      423.2540      231.2160      282.2173      -76.5020
-0.0782      192.1930      499.7930      307.6000      422.8920      230.6990      281.9663      -76.9010
-0.0782      192.2990      499.8570      307.5580      422.5320      230.2330      281.7830      -77.3250
-0.0792      192.4430      499.8210      307.3780      422.0890      229.6460      281.4673      -77.7320
-0.0792      192.6040      499.7560      307.1520      421.7410      229.1370      281.1470      -78.0150
-0.0802      192.7260      499.8670      307.1410      421.3820      228.6560      280.9793      -78.4850
-0.0812      192.8250      499.8390      307.0140      421.0480      228.2230      280.7503      -78.7910
-0.0812      193.0160      499.8390      306.8230      420.7240      227.7080      280.4513      -79.1150
-0.0822      193.1520      499.8390      306.6870      420.4050      227.2530      280.2090      -79.4340
-0.0832      193.2950      499.8200      306.5250      420.0660      226.7710      279.9403      -79.7540
-0.0832      193.4310      499.7650      306.3340      419.7460      226.3150      279.6610      -80.0190
-0.0843      193.5820      499.7560      306.1740      419.4450      225.8630      279.4037      -80.3110
-0.0853      193.7000      499.8110      306.1110      419.1440      225.4440      279.2220      -80.6670
-0.0853      193.8690      499.8110      305.9420      418.8050      224.9360      278.9400      -81.0060
-0.0863      193.9720      499.8020      305.8300      418.4460      224.4740      278.7113      -81.3560
-0.0873      194.1370      499.7650      305.6280      418.0560      223.9190      278.3917      -81.7090
-0.0873      194.2690      499.7920      305.5230      417.7210      223.4520      278.1660      -82.0710
-0.0883      194.3800      499.8120      305.4320      417.4030      223.0230      277.9623      -82.4090
-0.0893      194.5670      499.8110      305.2440      417.1460      222.5790      277.6890      -82.6650
-0.0893      194.7440      499.7930      305.0490      416.8050      222.0610      277.3863      -82.9880
-0.0903      194.8830      499.8840      305.0010      416.5120      221.6290      277.2103      -83.3720
-0.0913      195.0080      499.8020      304.7940      416.2130      221.2050      276.9310      -83.5890
-0.0913      195.1880      499.7650      304.5770      415.9280      220.7400      276.6313      -83.8370
-0.0923      195.3020      499.7650      304.4630      415.5850      220.2830      276.4030      -84.1800
-0.0923      195.4710      499.7830      304.3120      415.2850      219.8140      276.1460      -84.4980
-0.0933      195.5890      499.8480      304.2590      414.9680      219.3790      275.9657      -84.8800
-0.0943      195.7580      499.8300      304.0720      414.6530      218.8950      275.6797      -85.1770
-0.0943      195.9160      499.8110      303.8950      414.3150      218.3990      275.3963      -85.4960
-0.0953      196.0920      499.8110      303.7190      414.0400      217.9480      275.1287      -85.7710
-0.0953      196.2430      499.8020      303.5590      413.8260      217.5830      274.9003      -85.9760
-0.0963      196.4120      499.8480      303.4360      413.5660      217.1540      274.6753      -86.2820
-0.0973      196.5700      499.8480      303.2780      413.2690      216.6990      274.4183      -86.5790
-0.0973      196.7140      499.8390      303.1250      412.9330      216.2190      274.1563      -86.9060
-0.0983      196.8830      499.8210      302.9380      412.6080      215.7250      273.8670      -87.2130
-0.0983      197.0480      499.8110      302.7630      412.3210      215.2730      273.5997      -87.4900
-0.0993      197.1990      499.8210      302.6220      412.1130      214.9140      273.3860      -87.7080
-0.1003      197.3530      499.8570      302.5040      411.8190      214.4660      273.1580      -88.0380
-0.1013      197.5330      499.7650      302.2320      411.4980      213.9650      272.8097      -88.2670
-0.1013      197.7060      499.8200      302.1140      411.1880      213.4820      272.5700      -88.6320
-0.1023      197.8270      499.7930      301.9660      410.9790      213.1520      272.3613      -88.8140
-0.1033      198.0550      499.7470      301.6920      410.7580      212.7030      272.0290      -88.9890
-0.1033      198.2200      499.8570      301.6370      410.4590      212.2390      271.8377      -89.3980
-0.1043      198.3600      499.8110      301.4510      410.1770      211.8170      271.5730      -89.6340
-0.1043      198.5110      499.7200      301.2090      409.9230      211.4120      271.2767      -89.7970
-0.1053      198.6690      499.8570      301.1880      409.5820      210.9130      271.0963      -90.2750
-0.1063      198.8640      499.8300      300.9660      409.3060      210.4420      270.7913      -90.5240
-0.1063      199.0400      499.8660      300.8260      409.1100      210.0700      270.5740      -90.7560
-0.1073      199.1760      499.8570      300.6810      408.8300      209.6540      270.3387      -91.0270
-0.1083      199.3520      499.7920      300.4400      408.6110      209.2590      270.0463      -91.1810
-0.1093      199.5400      499.8660      300.3260      408.3350      208.7950      269.8157      -91.5310
-0.1093      199.7420      499.8390      300.0970      408.1210      208.3790      269.5243      -91.7180
-0.1103      199.9330      499.8480      299.9150      407.9050      207.9720      269.2673      -91.9430
-0.1103      200.0650      499.8290      299.7640      407.6960      207.6310      269.0530      -92.1330
-0.1113      200.2420      499.7750      299.5330      407.4340      207.1920      268.7527      -92.3410
-0.1123      200.4440      499.8570      299.4130      407.1690      206.7250      268.5170      -92.6880
-0.1123      200.6090      499.8380      299.2290      406.9490      206.3400      268.2660      -92.8890
